排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
1,WAL-MART STORES,美国,"219,812.0","6,671.0","83,375.0","35,102.0","1,383,000"
2,EXXON MOBIL,美国,"191,581.0","15,320.0",143.174.0,"73,161.0","97,900"
3,GENERAL MOTOR,美国,"177,260.0",601.0,323.969.0,"19,707.0","365,000"
4,BP,英国,"174,218.0","8,010.0","141,158.0","74,367.0","110,150"
5,FORD MOTOR,美国,"162,412.0","(5,453.0)","276,543.0","7,786.0","352,748"
6,ENRON,美国,"138,718.0",N.A,N.A,N.A,"15,388"
7,DAIMLERCHRYSLER,德国,"136,897.3",(592.8),"184,671.4","34,727.9","372,470"
8,ROYAL DUTCH/SHELL GROUP,荷兰/英国,"135,211.0","10,852.0","111,543.0","56,160.0","91,000"
9,GENERAL ELECTRIC,美国,"125,913.0","13,684.0","495,023.0","54,824.0","310,000"
10,TOYOTA MOTOR,日本,"120,814.4","4,925.1","150,064.0","55,268.4","246,702"
11,CITIGROUP,美国,"112,022.0","14,126.0","1,051,450.0","81,247.0","269,000"
12,MITSUBISHI,日本,"105,813.9",481.7,"61,455.1","7,761.1","43,000"
13,MITSUI,日本,"101,205.6",442.8,"50,313.5","6,903.5","36,116"
14,CHEVRONTEXACO,美国,"99,699.0","3,288.0","77,572.0","33,958.0","67,569"
15,TOTAL FINA ELF,法国,"94,311.9","6,857.7","78,886.7","30,212.0","122,025"
16,NIPPON TELEGRAPH&TELEPHONE,日本,"93,424.8","(6,495.5)","157,550.7","44,563.7","213,000"
17,ITOCHU,日本,"91,176.6",241.5,"35,856.7","3,000.4","36,529"
18,ALLIANZ,德国,"85,929.2","1,453.4","839,551.1","28,192.6","179,946"
19,INTL.BUSINESS MACHINES,美国,"85,866.0","7,723.0","88,313.0","23,614.0","319,876"
20,ING GROUP,荷兰,"82,999.1","4,098.7","627,816.0","19,155.4","113,143"
21,VOLKSWAGEN,德国,"79,287.3","2,610.4","92,975.9","21,364.4","322,070"
22,SIEMENS,德国,"77,358.9","1,856.6","82,070.2","21,685.5","484,000"
23,SUMITOMO,日本,"77,140.1",361.6,"36,613.0","4,907.1","30,264"
24,PHILIP MORRIS,美国,"72,944.0","8,560.0","84,968.0","19,620.0","175,000"
25,MARUBENI,日本,"71,756.6",(931.1),"36,259.3","1,991.1","31,000"
