排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
1,EXXON MOBIL,美国,"210,392.0","17,720.0","149,000.0","70,757.0","99,600"
2,WAL-MART STORES,美国,"193,295.0","6,295.0","77,895.0","31,108.0","1,244,000"
3,GENERAL MOTORS,美国,"184,632.0","4,452.0","303,100.0","30,175.0","386,000"
4,FORD MOTOR,美国,"180,598.0","3,467.0","284,421.0","18,610.0","345,991"
5,DAIMLERCHRYSLER,德国,"150,069.7","7,295.4","187,086.4","39,815.3","416,501"
6,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"149,146.0","12,719.0","122,498.0","57,086.0","90,000"
7,BP,英国,"148,062.0","11,870.0","143,938.0","73,416.0","107,200"
8,GENERAL ELECTRIC,美国,"129,853.0","12,735.0","437,006.0","50,492.0","341,000"
9,MITSUBISHI,日本,"126,579.4",833.0,"64,374.6","7,735.3","42,000"
10,TOYOTA MOTOR,日本,"121,416.2","4,262.6","139,801.5","56,772.8","215,648"
11,MITSUI,日本,"118,013.7",466.6,"53,545.3","6,658.6","33,712"
12,CITIGROUP,美国,"111,826.0","13,519.0","902,210.0","66,206.0","237,500"
13,ITOCHU,日本,"109,756.5",637.7,"41,156.0","2,529.1","36,651"
14,TOTAL FINA ELF,法国,"105,869.6","6,380.4","82,395.4","30,419.4","123,303"
15,NIPPON TELEGRAPH & TELEPHONE,日本,"103,234.7","4,197.3","169,284.6","54,734.7","215,200"
16,ENRON,美国,"100,789.0",979.0,"65,503.0","11,470.0","20,600"
17,AXA,法国,"92,781.6","3,607.9","445,588.6","22,834.5","95,422"
18,SUMITOMO,日本,"91,168.4",364.9,"39,500.6","4,971.1","30,715"
19,INTL.BUSINESS MACHINES,美国,"88,396.0","8,093.0","88,349.0","20,624.0","316,303"
20,MARUBENI,日本,"85,351.0",136.0,"42,457.4","2,731.5","31,342"
21,VOLKSWAGEN,德国,"78,851.9","1,896.2","76,601.3","10,546.8","324,402"
22,HITACHI,日本,"76,126.8",944.1,"89,745.7","22,834.0","340,939"
23,SIEMENS,德国,"74,858.3","8,559.8","72,053.1","25,131.3","447,000"
24,ING GROUP,荷兰,"71,195.9","11,075.2","610,407.6","23,728.2","92,650"
25,ALLIANZ,德国,"71,022.3","3,197.7","413,084.9","33,425.7","119,683"
26,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"69,475.3",375.3,"65,080.5","30,105.2","292,790"
27,E.ON,德国,"68,432.6","3,299.3","99,718.9","26,318.5","186,788"
28,NIPPON LIFE INSURANCE,日本,"68,054.8","2,703.9","353,163.9","9,950.2","68,745"
29,DEUTSCHE BANK,德国,"67,133.2","4,502.5","882,540.8","25,826.6","98,311"
30,SONY,日本,"66,158.4",151.5,"62,465.6","18,476.9","181,800"
31,AT&T,美国,"65,981.0","4,669.0","242,223.0","103,198.0","165,600"
32,VERIZON COMMUNICATIONS,美国,"64,707.0","11,797.0","164,735.0","34,578.0","263,552"
33,U.S.POSTAL SERVICE,美国,"64,540.0",(199.0),"58,283.0",(646.0),"901,238"
34,PHILIP MORRIS,美国,"63,276.0","8,510.0","79,067.0","15,005.0","178,000"
35,CGNU,英国,"61,498.7","(2,597.4)","288,776.6","20,364.8","72,749"
36,J.P.MORGAN CHASE & CO.,美国,"60,065.0","5,727.0","715,348.0","42,338.0","98,240"
37,CARREFOUR,法国,"59,887.8",985.0,"41,337.7","7,487.6","330,247"
38,CREDIT SUISSE,瑞士,"59,315.5","3,426.4","609,335.1","25,270.5","80,538"
39,NISSHO IWAI,日本,"58,557.3",181.3,"28,838.8",959.8,"19,571"
40,HONDA MOTOR,日本,"58,461.6","2,100.5","45,224.8","17,797.3","115,500"
41,BANK OF AMERICA CORP.,美国,"57,747.0","7,517.0","642,191.0","47,628.0","142,724"
42,BNP PARIBAS,法国,"57,611.6","3,811.3","651,589.8","20,291.2","80,464"
43,NISSAN MOTOR,日本,"55,077.1","2,994.4","51,479.6","7,644.2","133,800"
44,TOSHIBA,日本,"53,826.6",869.8,"45,680.9","8,362.2","188,042"
45,PDVSA,委内瑞拉,"53,680.0","7,216.0","57,098.0","37,932.0","45,520"
46,ASSICURAZIONI GENERALI,意大利,"53,333.1","1,313.3","205,599.5","8,491.1","57,443"
47,FIAT,意大利,"53,190.4",613.6,"89,898.6","12,505.4","223,953"
