2009排名,2008排名,公司名称,国家/地区,营业收入百万美元,利润百万美元
126,139,Groupe Auchan,法国,57792.1,1064.1
127,128,Dow Chemical,美国,57514.0,579.0
128,118,Mitsubishi UFJ Financial Group,日本,56513.7,-2557.7
129,141,Seven & I Holdings,日本,56107.1,916.9
130,119,Renault,法国,55314.1,835.8
131,140,Mitsui,日本,55097.9,1767.9
132,129,MetLife,美国,55085.0,3209.0
133,159,China Life Insurance,中国,54534.1,473.0
134,263,Rio Tinto Group,英国,54264.0,3676.0
135,153,Veolia Environnement,法国,53901.1,592.9
136,61,Goldman Sachs Group,美国,53579.0,2322.0
137,144,Intesa Sanpaolo?,意大利,52947.3,3736.8
138,191,Bunge,美国,52574.0,1064.0
139,180,Dai-ichi Mutual Life Insurance,日本,52012.5,864.1
140,154,AEON,日本,51944.6,-27.4
141,168,Sunoco,美国,51652.0,776.0
141,126,Wells Fargo,美国,51652.0,2655.0
143,142,United Parcel Service,美国,51486.0,3003.0
144,152,Caterpillar,美国,51324.0,3557.0
145,187,Bank of China,中国,51317.2,9260.5
146,156,Medco Health Solutions,美国,51258.0,1102.9
147,492,LyondellBasell Industries?,荷兰,50996.0,-7321.0
148,204,Banco Bradesco,巴西,50930.1,4156.7
149,273,Itaúsa-Investimentos Itaú?,巴西,50215.7,1472.6
150,169,Vinci,法国,48971.7,2329.3
151,163,Deutsche Bahn,德国,48963.2,1913.0
152,143,Pfizer,美国,48296.0,8104.0
153,145,Lowe's,美国,48230.0,2195.0
154,155,Bayer,德国,48181.6,2516.1
155,223,Agricultural Bank of China,中国,48063.2,7406.4
156,172,Bouygues,法国,47881.5,2197.0
157,165,Nippon Steel,日本,47479.0,1543.6
158,203,Rosneft Oil,俄罗斯,46985.0,11120.0
159,150,Time Warner,美国,46984.0,-13402.0
160,138,Sears Holdings,美国,46770.0,53.0
161,149,Fujitsu,日本,46714.3,-1118.7
162,185,Landesbank Baden-Württemberg,德国,46136.8,-2972.7
163,167,Volvo,瑞典,46057.2,1507.9
164,74,Credit Suisse,瑞士,45296.0,-7594.1
165,147,Rabobank,荷兰,45214.7,3804.1
166,160,Telecom Italia,意大利,45118.1,3240.6
167,177,Best Buy,美国,45015.0,1003.0
168,151,GlaxoSmithKline,英国,44654.0,8438.6
169,157,Supervalu,美国,44564.0,-2855.0
170,257,Sinochem,中国,44457.2,672.3
171,175,Roche Group,瑞士,44267.5,8288.1
172,186,Ko? Holding,土耳其,44167.9,1552.5
173,164,Safeway,美国,44104.0,965.3
174,282,Banco do Brasil,巴西,43984.2,4801.8
175,184,PepsiCo,美国,43251.0,5142.0
176,205,Foncière Euris,法国,43133.3,-152.2
177,195,Kraft Foods,美国,42867.0,2901.0
178,253,Scottish & Southern Energy,英国,42855.1,189.3
179,170,Lockheed Martin,美国,42731.0,3217.0
180,228,Woolworths,澳大利亚,42195.7,1455.6
181,178,Sanofi-Aventis,法国,42179.0,5636.7
182,174,NEC,日本,41962.3,-2952.8
183,181,Novartis,瑞士,41459.0,8195.0
184,240,Hess,美国,41094.0,2360.0
185,226,China Southern Power Grid,中国,41083.0,560.0
186,227,Sabic,沙特阿拉伯,40202.9,5872.7
187,137,Royal Ahold,荷兰,40116.7,1572.0
188,179,Franz Haniel,德国,40001.0,146.4
189,201,Marubeni,日本,39839.1,1107.0
190,189,Canon,日本,39610.6,2991.0
191,218,Cisco Systems,美国,39540.0,8052.0
192,199,KFW Bankengruppe,德国,39370.2,-3889.0
193,231,Centrica,英国,39140.1,-265.9
194,246,JFE Holdings,日本,38903.2,1933.4
195,197,Royal Philips Electronics,荷兰,38806.7,-272.2
196,112,CNP Assurances,法国,38481.7,1069.4
197,242,Meiji Yasuda Life Insurance,日本,38082.5,1239.4
198,219,Johnson Controls,美国,38062.0,979.0
199,224,POSCO,韩国,37976.2,3983.7
200,214,FedEx,美国,37953.0,1125.0
201,207,Walt Disney,美国,37843.0,4427.0
202,188,Intel,美国,37586.0,5292.0
203,215,Nippon Mining Holdings,日本,37532.6,-406.1
204,217,Sysco,美国,37522.1,1106.2
205,235,CVRD,巴西,37426.0,13218.0
206,295,OMV Group,奥地利,37386.3,2011.7
207,264,Vivendi?,法国,37165.9,3810.0
208,339,Iberdrola,西班牙,36879.3,4187.0
209,233,SNCF,法国,36867.3,841.6
210,166,BT,英国,36626.5,-139.9
