排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家,关键数据
1,沃尔玛（WALMART),"611,289","11,680",美国,+
2,沙特阿美公司（SAUDI ARAMCO),"603,651.4","159,069",沙特阿拉伯,+
3,国家电网有限公司（STATE GRID),"530,008.8","8,191.9",中国,+
4,亚马逊（AMAZON.COM),"513,983","-2,722",美国,+
5,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),"483,019.2","21,079.7",中国,+
6,中国石油化工集团有限公司（SINOPEC GROUP),"471,154.2","9,656.9",中国,+
7,埃克森美孚（EXXON MOBIL),"413,680","55,740",美国,+
8,苹果公司（APPLE),"394,328","99,803",美国,+
9,壳牌公司（SHELL),"386,201","42,309",英国,+
10,联合健康集团（UNITEDHEALTH GROUP),"324,162","20,120",美国,+
11,CVS Health公司（CVS HEALTH),"322,467","4,149",美国,+
12,托克集团（TRAFIGURA GROUP),"318,476.4","6,994.2",新加坡,+
13,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),"305,884.5","4,234",中国,+
14,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),"302,089","-22,819",美国,+
15,大众公司（VOLKSWAGEN),"293,684.7","15,223.2",德国,+
16,Uniper公司（UNIPER),"288,309.2","-19,961.3",德国,+
17,Alphabet公司（ALPHABET),"282,836","59,972",美国,+
18,麦克森公司（MCKESSON),"276,711","3,560",美国,+
19,丰田汽车公司（TOYOTA MOTOR),"274,491.4","18,110",日本,+
20,道达尔能源公司（TOTALENERGIES),"263,310","20,526",法国,+
21,嘉能可（GLENCORE),"255,984","17,320",瑞士,+
22,英国石油公司（BP),"248,891","-2,487",英国,+
23,雪佛龙（CHEVRON),"246,252","35,465",美国,+
24,美源伯根公司（AMERISOURCEBERGEN),"238,587","1,698.8",美国,+
25,三星电子（SAMSUNG ELECTRONICS),"234,129.3","42,397.7",韩国,+
26,开市客（COSTCO WHOLESALE),"226,954","5,844",美国,+
27,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),"222,535.3","4,751",中国,+
28,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),"214,766.3","53,589.3",中国,+
29,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),"202,753.4","48,145.1",中国,+
30,微软（MICROSOFT),"198,270","72,738",美国,+
31,Stellantis集团（STELLANTIS),"188,887.5","17,668.5",荷兰,+
32,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),"187,061.1","38,523.7",中国,+
33,中国平安保险（集团）股份有限公司（PING AN INSURANCE),"181,565.8","12,453.8",中国,+
34,嘉德诺健康集团（CARDINAL HEALTH),"181,364",-933,美国,+
35,信诺集团（CIGNA GROUP),"180,516","6,668",美国,+
36,马拉松原油公司（MARATHON PETROLEUM),"180,012","14,516",美国,+
37,Phillips 66公司（PHILLIPS 66),"175,702","11,024",美国,+
38,中国中化控股有限责任公司（SINOCHEM HOLDINGS),"173,834",-1.4,中国,+
39,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),"171,668.8","2,034.7",中国,+
40,瓦莱罗能源公司（VALERO ENERGY),"171,189","11,528",美国,+
41,俄罗斯天然气工业股份公司（GAZPROM),"167,831.5","17,641.4",俄罗斯,+
42,中国海洋石油集团有限公司（CHINA NATIONAL OFFSHORE OIL),"164,761.5","16,987.7",中国,+
43,中国铁道建筑集团有限公司（CHINA RAILWAY CONSTRUCTION),"163,037","1,799.6",中国,+
