排名,上年排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家
88,83,印度石油公司（INDIAN OIL),85521.4,817.7,印度
89,86,宝洁公司（PROCTER & GAMBLE),85120.0,10756.0,美国
90,195,保德信金融集团（PRUDENTIAL FINANCIAL),84838.0,469.0,美国
91,70,安赛乐米塔尔（ARCELORMITTAL),84213.0,-3726.0,卢森堡
92,76,慕尼黑再保险公司（MUNICH RE GROUP),84049.9,4106.0,德国
93,101,中国海洋石油总公司（CHINA NATIONAL OFFSHORE OIL),83458.9,7735.1,中国
94,87,索尼（SONY),81897.3,518.2,日本
95,123,波音（BOEING),81698.0,3900.0,美国
96,79,房地美（FREDDIE MAC),80635.0,10982.0,美国
97,82,西班牙电话公司（TELEFóNICA),80135.4,5048.0,西班牙
98,94,美源伯根公司（AMERISOURCEBERGEN),79720.5,719.0,美国
99,137,俄罗斯石油公司（ROSNEFT OIL),79610.3,10981.8,俄罗斯
100,111,中国铁道建筑总公司（CHINA RAILWAY CONSTRUCTION),77164.7,815.1,中国
101,106,马拉松原油公司（MARATHON PETROLEUM),76783.0,3389.0,美国
102,112,中国中铁股份有限公司（CHINA RAILWAY GROUP),76711.0,1165.7,中国
103,130,上海汽车集团股份有限公司（SAIC MOTOR),76233.6,3289.1,中国
104,117,现代汽车（HYUNDAI MOTOR),74998.5,7601.8,韩国
105,89,德国电信（DEUTSCHE TELEKOM),74754.6,-6753.3,德国
106,116,家得宝（HOME DEPOT),74754.0,4535.0,美国
107,99,信实工业公司（RELIANCE INDUSTRIES),74426.7,3837.6,印度
108,98,德国邮政（DEUTSCHE POST),74126.2,2130.7,德国
109,148,英杰华集团（AVIVA),73830.2,-5099.6,英国
110,119,微软（MICROSOFT),73723.0,16978.0,美国
111,129,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),73671.4,-1744.3,中国
112,90,雷普索尔公司（REPSOL),73465.6,2647.4,西班牙
113,120,塔吉特公司（TARGET),73301.0,2999.0,美国
114,125,欧洲宇航防务集团（EADS),72584.0,1578.1,荷兰
115,108,必和必拓（BHP BILLITON),72226.0,15417.0,澳大利亚
116,88,巴西银行（BANCO DO BRASIL),72086.6,5756.6,巴西
117,127,东京电力公司（TOKYO ELECTRIC POWER),71967.2,-8252.4,日本
118,115,三菱商事株式会社（MITSUBISHI),71877.3,4335.5,日本
119,113,中国中化集团公司（SINOCHEM GROUP),71824.1,813.3,中国
120,107,沃尔格林公司（WALGREEN),71633.0,2127.0,美国
121,85,标致（PEUGEOT),71255.2,-6438.5,法国
122,--,印尼国家石油公司（Pertamina),70924.4,2760.7,印度尼西亚
123,178,苏黎世保险集团（ZURICH INSURANCE GROUP),70414.0,3878.0,瑞士
124,105,沃达丰集团（VODAFONE GROUP),70187.4,677.5,英国
125,109,美国国际集团（AMERICAN INTERNATIONAL GROUP),70143.0,3438.0,美国
126,97,东芝（TOSHIBA),69848.2,933.7,日本
127,134,日本永旺集团（AEON),69322.7,910.8,日本
128,102,国际资产控股公司（INTL FCSTONE),69260.6,15.0,美国
129,114,大都会人寿（METLIFE),68224.0,1324.0,美国
130,104,德意志银行（DEUTSCHE BANK),67487.2,304.6,德国
131,110,博世公司（ROBERT BOSCH),67423.0,2905.7,德国
132,138,强生（JOHNSON & JOHNSON),67224.0,10853.0,美国
133,103,法国BPCE银行集团（GROUPE BPCE),66973.2,2759.2,法国
134,152,中国南方电网有限责任公司（CHINA SOUTHERN POWER GRID),66686.0,1020.4,中国
