排名,上年排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家
364,426,浙江物产集团（ZHEJIANG MATERIALS INDUSTRY GROUP),31197.3,46.2,中国
365,429,韩国天然气公司（KOREA GAS),31103.4,325.6,韩国
366,311,巴西伊塔乌投资银行（ITAúSA-INVESTIMENTOS ITAú),31095.7,2323.4,巴西
367,350,铃木汽车（SUZUKI MOTOR),31048.7,968.1,日本
368,361,意大利邮政集团（POSTE ITALIANE),30932.4,1326.9,意大利
369,357,印度石油天然气公司（OIL & NATURAL GAS),30859.1,4451.6,印度
370,385,麦格纳国际（MAGNA INTERNATIONAL),30837.0,1433.0,加拿大
371,383,S-OIL公司（S-OIL),30829.9,519.5,韩国
372,353,施耐德电气（SCHNEIDER ELECTRIC),30773.7,2364.6,法国
373,460,山东能源集团有限公司（SHANDONG ENERGY GROUP),30712.3,947.7,中国
374,379,爱信精机（AISIN SEIKI),30466.4,933.5,日本
375,--,英国标准人寿保险公司（STANDARD LIFE),30402.7,1106.1,英国
376,369,中国大唐集团公司（CHINA DATANG),30399.3,-135.2,中国
377,359,美国全国保险公司（NATIONWIDE),30356.3,748.5,美国
378,403,多伦多道明银行（TORONTO-DOMINION BANK),30200.0,6338.9,加拿大
379,408,台塑石化股份有限公司（FORMOSA PETROCHEMICAL),30187.8,92.0,中国
380,375,荷兰GasTerra能源公司（GASTERRA),30048.1,46.3,荷兰
381,181,宏利金融（MANULIFE FINANCIAL),29951.9,1634.1,加拿大
382,368,3M公司（3M),29904.0,4444.0,美国
383,354,夏普（SHARP),29847.7,-6567.2,日本
384,--,和硕（Pegatron),29824.7,206.4,中国
385,405,埃森哲（ACCENTURE),29778.0,2553.5,爱尔兰
386,406,DirecTV公司（DIRECTV),29740.0,2949.0,美国
387,--,正威国际集团（Amer International Group),29588.3,569.2,中国
388,440,山东魏桥创业集团有限公司（SHANDONG WEIQIAO PIONEERING GROUP),29562.0,1074.4,中国
389,433,中国华电集团公司（CHINA HUADIAN),29341.8,481.4,中国
390,447,山西煤炭运销集团有限公司（SHANXI COAL TRANSPORTATION & SALES GROUP),29322.6,9.6,中国
391,374,德尔海兹集团（DELHAIZE GROUP),29246.9,134.9,比利时
392,413,T&D控股（T&D HOLDINGS),29129.6,767.5,日本
393,--,信诺（CIGNA),29119.0,1623.0,美国
394,358,英国电信集团（BT GROUP),29082.5,3302.1,英国
395,425,中国电子信息产业集团有限公司（CHINA ELECTRONICS),29010.4,236.2,中国
396,391,欧莱雅（L'ORéAL),28867.4,3685.4,法国
397,392,威廉莫里森超市连锁公司（WM. MORRISON SUPERMARKETS),28778.5,1027.8,英国
398,352,墨菲石油公司（MURPHY OIL),28776.4,970.9,美国
399,360,英美资源集团（ANGLO AMERICAN),28761.0,-1493.0,英国
400,371,阿弗瑞萨控股公司（ALFRESA HOLDINGS),28750.9,250.1,日本
401,384,中国远洋运输（集团）总公司（CHINA OCEAN SHIPPING),28736.0,-379.8,中国
402,381,时代华纳（TIME WARNER),28729.0,3019.0,美国
403,--,山西焦煤集团有限责任公司（Shanxi Coking Coal Group),28646.3,0.7,中国
404,397,河南煤业化工集团有限责任公司（HENAN COAL & CHEMICAL),28636.6,-436.1,中国
405,378,曼弗雷集团（MAPFRE GROUP),28605.7,855.5,西班牙
406,484,新兴际华集团（XINXING CATHAY INTERNATIONAL GROUP),28579.0,303.6,中国
407,--,山西阳泉煤业(集团)有限责任公司（Yangquan Coal Industry Group),28578.7,34.2,中国
408,451,中国电力投资集团公司（CHINA POWER INVESTMENT),28558.4,181.0,中国
409,364,Coop集团（COOP GROUP),28514.5,482.2,瑞士
410,444,哈里伯顿公司（HALLIBURTON),28503.0,2635.0,美国
411,--,中国民生银行（China Minsheng Banking Corp.),28436.3,5953.6,中国
412,498,招商银行（CHINA MERCHANTS BANK),28039.5,7175.6,中国
413,331,阿斯利康（ASTRAZENECA),27973.0,6297.0,英国
414,--,江西铜业集团公司（Jiangxi Copper),27879.6,280.5,中国
415,490,开滦集团（KAILUAN GROUP),27841.8,121.5,中国
416,424,国际纸业（INTERNATIONAL PAPER),27833.0,794.0,美国
417,434,中国船舶重工集团公司（CHINA SHIPBUILDING INDUSTRY),27753.0,1026.2,中国
418,407,大众超级市场公司（PUBLIX SUPER MARKETS),27706.8,1552.3,美国
419,417,梅西百货（MACY'S),27686.0,1335.0,美国
420,380,Ultrapar控股公司（ULTRAPAR HOLDINGS),27600.3,517.5,巴西
421,382,米其林公司（MICHELIN),27596.8,2017.7,法国
422,473,福陆公司（FLUOR),27577.1,456.3,美国
423,410,麦当劳（MCDONALD'S),27567.0,5464.8,美国
424,419,Onex公司（ONEX),27443.0,-121.0,加拿大
425,363,PHOENIX PHARMAHANDEL公司（PHOENIX PHARMAHANDEL),27337.2,193.6,德国
426,465,现代摩比斯公司（HYUNDAI MOBIS),27336.8,3159.5,韩国
427,--,三星人寿保险（SAMSUNG LIFE INSURANCE),27253.0,882.9,韩国
428,--,兴业银行（Industrial Bank),27247.9,5502.7,中国
429,450,中国太平洋保险（集团）股份有限公司（CHINA PACIFIC INSURANCE (GROUP)),27174.4,804.7,中国
430,--,潞安集团（Shanxi LuAn Mining Group),27105.4,1.7,中国
431,409,加拿大丰业银行（BANK OF NOVA SCOTIA),26994.3,6215.4,加拿大
432,--,大同煤矿集团有限责任公司（Datong Coal Mine Group),26980.0,-68.9,中国
433,411,达能（DANONE),26819.3,2148.7,法国
434,448,渣打银行（STANDARD CHARTERED),26816.0,4887.0,英国
435,--,山西晋城无烟煤矿业集团有限责任公司（Shanxi Jincheng Anthracite Coal Mining Group),26757.4,332.9,中国
436,389,昭和壳牌石油公司（SHOWA SHELL SEKIYU),26682.6,12.7,日本
437,400,富士胶片控股株式会社（FUJIFILM HOLDINGS),26669.8,653.5,日本
438,396,Migros集团（MIGROS GROUP),26666.7,1060.1,瑞士
439,432,金巴斯集团（COMPASS GROUP),26647.4,953.7,英国
440,428,马自达汽车株式会社（MAZDA MOTOR),26556.3,413.1,日本
441,386,BAE系统公司（BAE SYSTEMS),26450.4,1692.5,英国
442,--,哈特福德金融服务集团（Hartford Financial Services Group),26412.0,-38.0,美国
443,387,德科集团（ADECCO GROUP),26391.4,484.5,瑞士
444,438,澳大利亚电信（TELSTRA),26302.9,3511.8,澳大利亚
445,430,Surgutneftegas公司（SURGUTNEFTEGAS),26265.4,5183.1,俄罗斯
446,--,中国医药集团（Sinopharm),26189.5,343.3,中国
447,--,LG DISPLAY公司（LG DISPLAY),26129.9,207.1,韩国
448,404,阿尔斯通（ALSTOM),26090.6,1032.3,法国
449,399,Brazilian Distribution公司（BRAZILIAN DISTRIBUTION),26067.3,538.1,巴西
450,422,住友电工（SUMITOMO ELECTRIC INDUSTRIES),26010.5,457.1,日本
451,293,贺利氏控股集团（HERAEUS HOLDING),25981.3,296.6,德国
452,441,西北互助人寿保险公司（NORTHWESTERN MUTUAL),25957.0,783.0,美国
453,478,TJX公司（TJX),25878.4,1906.7,美国
454,431,Travelers Cos.公司（TRAVELERS COS.),25740.0,2473.0,美国
455,418,株式会社Maruhan（MARUHAN),25732.6,244.7,日本
456,459,荷兰SHV公司（SHV HOLDINGS),25716.1,980.4,荷兰
457,414,安富利公司（AVNET),25707.5,567.0,美国
458,464,喜力控股公司（HEINEKEN HOLDING),25565.1,1898.1,荷兰
459,427,日本烟草（JAPAN TOBACCO),25531.9,4137.9,日本
460,--,上海浦东发展银行股份有限公司（Shanghai Pudong Development Bank),25424.1,5418.4,中国
461,421,来德爱（RITE AID),25392.3,118.1,美国
462,497,美国家庭人寿保险公司（AFLAC),25364.0,2866.0,美国
463,415,Tech Data公司（TECH DATA),25361.0,214.6,美国
464,--,陕西延长石油（集团）有限责任公司（Shaanxi Yanchang Petroleum (Group)),25341.7,2443.7,中国
465,395,美国诺斯洛普格拉曼公司（NORTHROP GRUMMAN),25218.0,1978.0,美国
466,--,百联集团（Bailian Group),25202.4,93.7,中国
467,471,野村控股（NOMURA HOLDINGS),25047.1,1291.3,日本
468,377,德国商业银行（COMMERZBANK),24925.1,7.7,德国
469,463,美国航空（AMR),24855.0,-1876.0,美国
470,479,费森尤斯集团（FRESENIUS),24790.1,1190.0,德国
471,401,塔塔钢铁（TATA STEEL),24760.2,-1297.2,印度
472,420,巴登-符滕堡州能源公司（ENERGIE BADEN-WüRTTEMBERG),24733.4,608.5,德国
473,398,Vattenfall公司（VATTENFALL),24713.2,2501.6,瑞典
474,412,匈牙利油气公司（MOL HUNGARIAN OIL & GAS),24685.4,674.3,匈牙利
475,437,史泰博（STAPLES),24671.9,-210.7,美国
476,388,德克夏（DEXIA),24593.5,-3683.2,比利时
477,475,浙江吉利控股集团（ZHEJIANG GEELY HOLDING GROUP),24550.2,52.4,中国
478,456,艾默生电气（EMERSON ELECTRIC),24507.0,1968.0,美国
479,442,雷神公司（RAYTHEON),24414.0,1888.0,美国
480,458,西方石油公司（OCCIDENTAL PETROLEUM),24253.0,4598.0,美国
481,472,大和房建（DAIWA HOUSE INDUSTRY),24180.6,798.1,日本
482,--,中国有色矿业集团有限公司（China Nonferrous Metal Mining (Group)),24146.2,83.2,中国
483,--,广州汽车工业集团（Guangzhou Automobile Industry Group),24144.8,66.0,中国
484,--,耐克公司（NIKE),24128.0,2223.0,美国
485,445,英美烟草集团（BRITISH AMERICAN TOBACCO),24071.8,6086.9,英国
486,435,CRH公司（CRH),23979.2,709.4,爱尔兰
487,495,索迪斯（SODEXO),23781.1,684.6,法国
488,453,途易（TUI),23774.2,-19.6,德国
489,--,第一资本金融公司（Capital One Financial),23771.0,3517.0,美国
490,439,美铝公司（ALCOA),23700.0,191.0,美国
491,470,CFE公司（CFE),23643.3,-1460.7,墨西哥
492,372,伟创力（FLEXTRONICS INTERNATIONAL),23610.1,277.1,新加坡
493,462,鞍钢集团公司（ANSTEEL GROUP),23588.3,-1592.5,中国
494,446,住友化学（SUMITOMO CHEMICAL),23512.3,-615.1,日本
495,--,Exelon公司（EXELON),23489.0,1160.0,美国
496,--,麒麟控股株式会社（KIRIN HOLDINGS),23441.6,704.2,日本
497,494,国际航空集团（INTERNATIONAL AIRLINES GROUP),23398.3,-1211.9,英国
498,336,英力士集团控股有限公司（INEOS GROUP HOLDINGS),23374.2,-368.2,卢森堡
499,--,国泰人寿保险股份有限公司（CATHAY LIFE INSURANCE),23282.5,110.9,中国
500,461,理光集团（RICOH),23175.2,391.0,日本
