排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家,关键数据
1,沃尔玛（WALMART),"680,985","19,436",美国,+
2,亚马逊（AMAZON.COM),"637,959","59,248",美国,+
3,国家电网有限公司（STATE GRID),"548,414.4","10,044.9",中国,+
4,沙特阿美公司（SAUDI ARAMCO),"480,193.5","104,982.3",沙特阿拉伯,+
5,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),"412,645.3","22,424",中国,+
6,中国石油化工集团有限公司（SINOPEC GROUP),"407,490.1","8,036.4",中国,+
7,联合健康集团（UNITEDHEALTH GROUP),"400,278","14,405",美国,+
8,苹果公司（APPLE),"391,035","93,736",美国,+
9,CVS Health公司（CVS HEALTH),"372,809","4,614",美国,+
10,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),"371,433","88,995",美国,+
11,麦克森公司（MCKESSON),"359,051","3,295",美国,+
12,大众公司（VOLKSWAGEN),"351,093.3","12,275.3",德国,+
13,Alphabet公司（ALPHABET),"350,018","100,118",美国,+
14,埃克森美孚（EXXON MOBIL),"349,585","33,680",美国,+
15,丰田汽车公司（TOYOTA MOTOR),"315,110.2","31,257.9",日本,+
16,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),"304,121.3","3,667.4",中国,+
17,Cencora公司（CENCORA),"293,958.6","1,509.1",美国,+
18,壳牌公司（SHELL),"289,029","16,094",英国,+
19,摩根大通公司（JPMORGAN CHASE),"278,906","58,471",美国,+
20,开市客（COSTCO WHOLESALE),"254,453","7,367",美国,+
21,信诺集团（CIGNA GROUP),"247,121","3,434",美国,+
22,微软（MICROSOFT),"245,122","88,136",美国,+
23,托克集团（TRAFIGURA GROUP),"243,201.8","2,771.8",新加坡,+
24,嘉能可（GLENCORE),"230,944","-1,634",瑞士,+
25,嘉德诺健康集团（CARDINAL HEALTH),"226,827",852,美国,+
26,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),"221,461.3","50,848.5",中国,+
27,三星电子（SAMSUNG ELECTRONICS),"220,636.7","24,655.4",韩国,+
28,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),"213,699.1","4,757.3",中国,+
29,雪佛龙（CHEVRON),"202,792","17,661",美国,+
30,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),"197,466.4","39,204.6",中国,+
31,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),"196,738.3","46,639.3",中国,+
32,道达尔能源公司（TOTALENERGIES),"195,610","15,758",法国,+
33,英国石油公司（BP),"194,629",381,英国,+
34,美国银行（BANK OF AMERICA),"192,434","27,132",美国,+
35,通用汽车公司（GENERAL MOTORS),"187,442","6,008",美国,+
36,福特汽车公司（FORD MOTOR),"184,992","5,879",美国,+
37,Elevance Health公司（ELEVANCE HEALTH),"177,011","5,980",美国,+
38,中国银行股份有限公司（BANK OF CHINA),"176,142.5","33,055.7",中国,+
39,花旗集团（CITIGROUP),"170,757","12,682",美国,+
40,Stellantis集团（STELLANTIS),"169,652.9","5,918.7",荷兰,+
41,Meta Platforms公司（META PLATFORMS),"164,501","62,360",美国,+
42,Centene公司（CENTENE),"163,071","3,305",美国,+
43,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),"161,336.5","1,810.5",中国,+
44,京东集团股份有限公司（JD.COM),"161,055.4","5,748.2",中国,+
45,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),"160,276.8","1,329.2",中国,+
46,家得宝（HOME DEPOT),"159,514","14,806",美国,+
47,中国平安保险（集团）股份有限公司（PING AN INSURANCE),"158,627","17,596.1",中国,+
48,梅赛德斯-奔驰集团（MERCEDES-BENZ GROUP),"157,450","11,038.2",德国,+
49,宝马集团（BMW GROUP),"153,974.3","7,883.6",德国,+
50,房利美（FANNIE MAE),"152,670","16,978",美国,+
51,中国铁道建筑集团有限公司（CHINA RAILWAY CONSTRUCTION),"148,467.4","1,265.2",中国,+
52,沃博联（WALGREENS BOOTS ALLIANCE),"147,658","-8,636",美国,+
53,克罗格（KROGER),"147,123","2,665",美国,+
54,法国巴黎银行（BNP PARIBAS),"146,390.2","12,639.8",法国,+
55,西班牙国家银行（BANCO SANTANDER),"146,326.4","13,597.9",西班牙,+
56,汇丰银行控股公司（HSBC HOLDINGS),"145,717","23,979",英国,+
57,Phillips 66公司（PHILLIPS 66),"145,496","2,117",美国,+
58,中国移动通信集团有限公司（CHINA MOBILE COMMUNICATIONS),"145,239.9","14,698.8",中国,+
59,本田汽车（HONDA MOTOR),"142,273.6","5,482.9",日本,+
60,马拉松原油公司（MARATHON PETROLEUM),"140,412","3,445",美国,+
61,中国交通建设集团有限公司（CHINA COMMUNICATIONS CONSTRUCTION),"139,229",937,中国,+
62,中国中信集团有限公司（CITIC GROUP),"138,940.6","3,953.1",中国,+
63,阿里巴巴集团控股有限公司（ALIBABA GROUP HOLDING),"138,065","18,029.4",中国,+
64,威瑞森电信（VERIZON COMMUNICATIONS),"134,788","17,506",美国,+
65,中国海洋石油集团有限公司（CHINA NATIONAL OFFSHORE OIL),"130,832","14,772.8",中国,+
66,英伟达公司（NVIDIA),"130,497","72,880",美国,+
67,中国华润有限公司（CHINA RESOURCES),"129,623.5","3,638.1",中国,+
68,现代汽车（HYUNDAI MOTOR),"128,501.8","9,186.2",韩国,+
69,法国电力公司（ELECTRICITÉ DE FRANCE),"128,355.1","12,334.8",法国,+
70,高盛集团（GOLDMAN SACHS GROUP),"126,853","14,276",美国,+
71,美国富国银行（WELLS FARGO),"125,397","19,722",美国,+
72,德国电信（DEUTSCHE TELEKOM),"125,196.3","12,121.8",德国,+
73,中国宝武钢铁集团有限公司（CHINA BAOWU STEEL GROUP),"125,112.5","2,497.3",中国,+
74,瓦莱罗能源公司（VALERO ENERGY),"123,974","2,770",美国,+
75,美国康卡斯特电信公司（COMCAST),"123,731","16,192",美国,+
76,安联保险集团（ALLIANZ),"123,148.1","10,739.7",德国,+
77,州立农业保险公司（STATE FARM INSURANCE),"122,951","5,287.3",美国,+
78,美国电话电报公司（AT&T),"122,336","10,948",美国,+
79,三菱商事株式会社（MITSUBISHI),"122,127.4","6,236.4",日本,+
80,房地美（FREDDIE MAC),"122,052","11,858",美国,+
81,恒力集团有限公司（HENGLI GROUP),"121,126",815.5,中国,+
82,山东能源集团有限公司（SHANDONG ENERGY GROUP),"120,426",105,中国,+
83,华为投资控股有限公司（HUAWEI INVESTMENT & HOLDING),"119,812.8","8,685.2",中国,+
84,中国南方电网有限责任公司（CHINA SOUTHERN POWER GRID),"118,607.5","2,500.7",中国,+
85,哈门那公司（HUMANA),"117,761","1,207",美国,+
86,中国五矿集团有限公司（CHINA MINMETALS),"115,805.6",923.7,中国,+
87,俄罗斯天然气工业股份公司（GAZPROM),"115,457.7","13,130.6",俄罗斯,+
88,信实工业公司（RELIANCE INDUSTRIES),"114,121.6","8,239.3",印度,+
89,法国兴业银行（SOCIÉTÉ GÉNÉRALE),"110,647.8","4,542",法国,+
90,俄罗斯石油公司（ROSNEFT OIL),"109,254.3","11,680.8",俄罗斯,+
91,比亚迪股份有限公司（BYD),"108,003.5","5,594.6",中国,+
92,国家能源投资集团有限责任公司（CHINA ENERGY INVESTMENT),"107,690.2","6,901.5",中国,+
93,摩根士丹利（MORGAN STANLEY),"107,285","13,390",美国,+
94,塔吉特公司（TARGET),"106,566","4,091",美国,+
95,印度人寿保险公司（LIFE INSURANCE CORP. OF INDIA),"104,970.8","5,716.2",印度,+
96,Equinor公司（EQUINOR),"103,774","8,806",挪威,+
97,雀巢公司（NESTLÉ),"103,749.5","12,360.8",瑞士,+
98,厦门建发集团有限公司（XIAMEN C&D),"100,600.1",375.3,中国,+
99,StoneX集团（STONEX GROUP),"99,887.8",260.8,美国,+
100,中国电力建设集团有限公司（POWERCHINA),"99,829.5",607,中国,+
101,加拿大皇家银行（ROYAL BANK OF CANADA),"98,742.8","11,929.2",加拿大,+
102,俄罗斯联邦储蓄银行（SBERBANK),"98,742.7","17,042.8",俄罗斯,+
103,安盛（AXA),"98,686.1","8,528.2",法国,+
104,埃尼石油公司（ENI),"98,641.7","2,837.7",意大利,+
105,博世集团（BOSCH GROUP),"97,702",850,德国,+
106,特斯拉（TESLA),"97,690","7,091",美国,+
107,中国邮政集团有限公司（CHINA POST GROUP),"97,544.4","5,222.2",中国,+
108,皇家阿霍德德尔海兹集团（ROYAL AHOLD DELHAIZE),"96,632.4","1,907.7",荷兰,+
109,日本伊藤忠商事株式会社（ITOCHU),"96,587.7","5,774.3",日本,+
110,三井物产株式会社（MITSUI),"96,183.6","5,906.1",日本,+
111,戴尔科技公司（DELL TECHNOLOGIES),"95,567","4,592",美国,+
112,REWE集团（REWE GROUP),"95,044.2","1,057",德国,+
113,家乐福（CARREFOUR),"94,376.6",781.9,法国,+
114,SK集团（SK),"92,973.3",-948,韩国,+
115,百事公司（PEPSICO),"91,854","9,578",美国,+
116,腾讯控股有限公司（TENCENT HOLDINGS),"91,764.1","26,972.7",中国,+
117,迪奥公司（CHRISTIAN DIOR),"91,578.9","5,632.1",法国,+
118,浙江荣盛控股集团有限公司（ZHEJIANG RONGSHENG HOLDING GROUP),"91,534",25,中国,+
119,中国医药集团有限公司（SINOPHARM),"91,485.7",643.9,中国,+
120,巴西国家石油公司（PETROBRAS),"91,416","7,528",巴西,+
121,墨西哥石油公司（PEMEX),"91,376.5","-42,633.4",墨西哥,+
122,华特迪士尼公司（WALT DISNEY),"91,361","4,972",美国,+
123,联合包裹速递服务公司（UNITED PARCEL SERVICE),"91,070","5,782",美国,+
124,敦豪集团（DHL GROUP),"91,041.4","3,603.3",德国,+
125,法国农业信贷银行（CRÉDIT AGRICOLE),"90,552.6","7,664.1",法国,+
126,台积公司（TAIWAN SEMICONDUCTOR MANUFACTURING),"90,167","36,087.3",中国,+
127,印度石油公司（INDIAN OIL),"90,098.4","1,608.6",印度,+
128,日本电报电话公司（NIPPON TELEGRAPH AND TELEPHONE),"89,900","6,559.9",日本,+
129,乐购（TESCO),"89,745.6","2,071",英国,+
130,三菱日联金融集团（MITSUBISHI UFJ FINANCIAL GROUP),"89,409.8","12,220.5",日本,+
131,强生（JOHNSON & JOHNSON),"88,821","14,066",美国,+
132,多伦多道明银行（TORONTO-DOMINION BANK),"88,304.2","6,499",加拿大,+
133,中粮集团有限公司（COFCO),"88,260",143,中国,+
134,中国电信集团有限公司（CHINA TELECOMMUNICATIONS),"87,996.5","2,552.9",中国,+
135,联邦快递（FEDEX),"87,693","4,331",美国,+
136,泰国国家石油有限公司（PTT),"87,638.5","2,554.3",泰国,+
137,西班牙对外银行（BANCO BILBAO VIZCAYA ARGENTARIA),"87,457.6","10,872.7",西班牙,+
138,上海汽车集团股份有限公司（SAIC MOTOR),"87,223.9",231.6,中国,+
139,瑞银集团（UBS GROUP),"87,150","5,085",瑞士,+
140,意昂集团（E.ON),"86,643.2","4,900",德国,+
141,中国人民保险集团股份有限公司（PEOPLE'S INSURANCE CO. OF CHINA),"86,477.6","5,858.2",中国,+
142,博枫公司（BROOKFIELD),"86,006",641,加拿大,+
143,ADM公司（ARCHER DANIELS MIDLAND),"85,530","1,800",美国,+
144,西门子（SIEMENS),"85,432.8","8,998.5",德国,+
145,意大利国家电力公司（ENEL),"85,375.8","7,587.3",意大利,+
146,索尼（SONY),"84,995.5","7,488.7",日本,+
147,宝洁公司（PROCTER & GAMBLE),"84,039","14,879",美国,+
148,美国劳氏公司（LOWE'S),"83,674","6,957",美国,+
149,物产中大集团股份有限公司（WUCHAN ZHONGDA GROUP),"83,322.6",427.9,中国,+
150,日产汽车（NISSAN MOTOR),"82,871.1","-4,400.9",日本,+
151,Energy Transfer公司（ENERGY TRANSFER),"82,671","4,814",美国,+
152,法国BPCE银行集团（GROUPE BPCE),"81,716.2","3,806.6",法国,+
153,雷神技术公司（RTX),"80,738","4,774",美国,+
154,艾伯森公司（ALBERTSONS),"80,390.9",958.6,美国,+
155,浙江吉利控股集团有限公司（ZHEJIANG GEELY HOLDING GROUP),"79,890.6",835.1,中国,+
156,Engie集团（ENGIE),"79,822.7","4,440.4",法国,+
157,美国邮政（U.S. POSTAL SERVICE),"79,547","-9,520",美国,+
158,西斯科公司（SYSCO),"78,844","1,955",美国,+
159,起亚公司（KIA),"78,795","7,166.8",韩国,+
160,万喜集团（VINCI),"78,692.6","5,259",法国,+
161,盛虹控股集团有限公司（SHENGHONG HOLDING GROUP),"78,611.7",401.4,中国,+
162,Seven & I 控股公司（SEVEN & I HOLDINGS),"78,509.4","1,134.9",日本,+
163,印度国家银行（STATE BANK OF INDIA),"78,472.4","9,175.4",印度,+
164,中国第一汽车集团有限公司（CHINA FAW GROUP),"77,736.8",835.9,中国,+
165,江西铜业集团有限公司（JIANGXI COPPER),"77,667.6",364.1,中国,+
166,山东魏桥创业集团有限公司（SHANDONG WEIQIAO PIONEERING GROUP),"77,626.2","2,013.8",中国,+
167,巴西JBS公司（JBS),"77,182.6","1,766.9",荷兰,+
168,交通银行股份有限公司（BANK OF COMMUNICATIONS),"75,834.2","13,006.8",中国,+
169,前进保险公司（PROGRESSIVE),"75,372","8,480",美国,+
170,太平洋建设集团有限公司（PACIFIC CONSTRUCTION GROUP),"75,359.8","4,897.5",中国,+
171,印尼国家石油公司（PERTAMINA),"75,327","3,125.9",印度尼西亚,+
172,Uniper公司（UNIPER),"75,306.6",321.2,德国,+
173,日本邮政控股公司（JAPAN POST HOLDINGS),"75,230","2,430.8",日本,+
