排名,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
41,HEWLETT-PACKARD,美国,"47,061.00","2,945.00","33,673.00","124,600"
42,DEUTSCHE BANK,德国,"45,165.00","1,879.20","735,808.20","75,306"
43,UNILEVER,英国/荷兰,"44,908.00","3,270.20","35,807.00","267,000"
44,STATE FARM INSURANCE COS,美国,"44,620.90","1,319.70","111,365.20","76,257"
45,DAL-ICHI MUTUAL LIFE INSURANCE,日本,"44,485.60",557.20,"252,654.10","63,427"
46,VEBA GROUP,德国,"43,407.50","1,330.10","50,574.70","116,774"
47,HSBC HOLDINGS,英国,"43,338.30","4,316.10","484,735.40","144,521"
48,TOSHIBA,日本,"41,470.90",-108.70,"50,856.90","198,000"
49,RENAULT,法国,"41,353.30","1,499.80","44,765.40","138,321"
50,SEARS ROEBUCK,美国,"41,322.00","1,048.00","37,675.00","324,000"
51,FUJITSU,日本,"41,017.80",-106.70,"43,163.40","188,000"
52,TOKYO ELECTRIC POWER,日本,"39,808.40",762.20,"121,641.70","42,170"
53,DEUTSCHE TELEKOM,德国,"39,710.50","2,494.20","93,110.00","195,876"
54,SUMITOMO LIFE INSURANCE,日本,"39,535.40",962.60,"205,623.30","66,858"
55,E.I. DU PONT DE NEMOURS,美国,"39,130.00","4,480.00","39,724.00","101,000"
56,ZURICH FINANCIAL SERVICES,瑞士,"39,115.00",802.00,"214,651.00","68,876"
57,ROYAL PHILIPS ELECTRONICS,荷兰,"38,455.60","6,598.50","33,055.40","224,573"
58,CGU,英国,"37,588.50",825.40,"176,146.40","52,000"
59,PEUGEOT,法国,"37,539.80",538.80,"40,276.40","156,500"
60,NEC,日本,"37,234.60","-1,235.70","42,017.00","157,773"
61,PROCTER&GAMBLE,美国,"37,154.00","3,780.00","30,966.00","110,000"
62,ELECTRICITE DE FRANCE,法国,"36,672.90",264.10,"113,360.30","116,462"
63,RWE GROUP,德国,"36,603.10",799.70,"47,383.60","145,467"
64,TIAA-CREF,美国,"35,889.10",840.40,"249,714.60","5,229"
65,BMW,德国,"35,886.70",513.30,"35,978.40","119,913"
66,ELF AQUITAINE,法国,"35,864.00",600.80,"43,172.10","85,000"
67,MERRILL LYNCH,美国,"35,853.00","1,259.00","299,804.00","63,800"
68,MUNICH RE GROUP,德国,"35,464.50",489.00,"130,625.60","27,465"
69,VIVENDI,法国,"35,292.30","1,246.40","57,513.30","235,610"
70,SUEZ LYONNAISE DES EAUX,法国,"34,873.50","1,117.50","85,112.90","201,000"
71,PRUDENTIAL INS.CO.OF AMERICA,美国,"34,427.00","1,106.00","279,422.00","77,806"
72,ABN AMRO HOLDING,荷兰,"34,235.00","1,992.60","507,324.20","105,826"
73,SINOPEC,中国,"34,025.20",194.20,"51,605.30","1,190,000"
74,PRUDENTIAL,英国,"33,676.80","1,458.60","197,357.70","22,834"
75,KMART,美国,"33,674.00",568.00,"14,166.00","278,525"
76,AMERICAN INTERNATIONAL GROUP,美国,"33,296.00","3,765.60","194,398.00","48,000"
77,CREDIT AGRICOLE,法国,"33,022.40","2,089.40","458,688.80","86,100"
78,ENI,意大利,"32,389.30","2,593.70","48,503.00","78,906"
79,CHASE MANHATTAN CORP,美国,"32,379.00","3,782.00","365,875.00","72,683"
80,HYPOVEREINSBANK,德国,"31,816.20","2,127.00","541,031.80","39,447"
81,TEXACO,美国,"31,707.00",578.00,"28,570.00","24,628"
82,BELL ATLANTIC,美国,"31,565.90","2,965.30","55,143.90","140,439"
83,FANNIE MAE,美国,"31,498.80","3,418.10","485,013.80","3,800"
84,FORTIS,比利时/荷兰,"31,325.30","1,521.00","396,874.10","59,481"
85,ENRON,美国,"31,260.00",703.00,"29,350.00","17,800"
86,BAYER,德国,"31,197.20","1,794.50","34,352.50","145,100"
87,COMPAQ COMPUTER,美国,"31,169.00","-2,743.00","23,051.00","80,500"
88,MORGAN STANLEY DEAN WITTER,美国,"31,131.00","3,276.00","317,590.00","49,300"
89,DAYTON HUDSON,美国,"30,951.00",935.00,"15,666.00","165,750"
90,TOMEN,日本,"30,934.90",21.50,"18,453.60","10,409"
91,BANK OF TOKYO-MITSUBISHI,日本,"30,928.80",-679.80,"663,627.80","17,878"
92,ABB,瑞士,"30,872.00","1,305.00","32,383.00","199,232"
93,BASF,德国,"30,731.60","1,889.30","31,355.20","105,945"
94,J.C.PENNEY,美国,"30,678.00",594.00,"23,638.00","250,000"
95,CARREFOUR,法国,"30,479.00",719.10,"20,410.10","144,142"
96,HOME DEPOT,美国,"30,219.00","1,614.00","13,465.00","140,000"
97,LUCENT TECHNOLOGIES,美国,"30,147.00",970.00,"26,720.00","141,600"
98,SOCIETE GENERALE,法国,"29,762.10",750.70,"450,330.30","58,600"
99,MITSUBISHI ELECTRIC,日本,"29,682.30",-348.50,"35,365.40","116,479"
100,MOTOROLA,美国,"29,398.00",-962.00,"28,728.00","133,000"
101,KONINKLIJKE AHOLD,荷兰,"28,871.00",596.50,"13,416.10","162,746"
102,SAMSUNG,韩国,"28,839.00",12.70,"11,186.10","7,400"
103,SK,韩国,"28,808.90",50.20,"28,003.40","24,023"
104,SBC COMMUNICATIONS,美国,"28,777.00","4,023.00","45,066.00","129,850"
105,ROBERT BOSCH,德国,"28,610.30",445.60,"21,820.30","189,537"
106,MEIJI LIFE INSURANCE,日本,"28,476.10",234.80,"146,278.30","37,968"
107,TESCO,英国,"28,442.30","1,004.50","13,936.20","131,031"
108,BT,英国,"28,323.70","4,934.80","45,136.40","124,700"
109,KROGER,美国,"28,203.30",410.80,"6,700.10","140,000"
110,VIAG,德国,"27,921.60",660.80,"34,992.00","85,694"
111,MITSUBISHI MOTORS,日本,"27,480.40",44.30,"25,838.80","26,749"
112,FRANCE TELECOM,法国,"27,408.70","2,557.30","54,197.10","169,099"
113,UBS,瑞士,"27,221.20","2,090.60","687,316.40","48,011"
114,TOTAL,法国,"27,058.80",985.60,"27,199.60","57,166"
115,MERCK,美国,"26,898.20","5,248.20","31,853.40","57,300"
116,CHEVRON,美国,"26,801.00","1,976.00","36,535.00","39,191"
117,BANQUE NATIONALE DE PARIS,法国,"26,786.60","1,238.90","381,405.70","56,286"
118,VOLVO,瑞典,"26,773.20","1,086.10","25,205.70","70,330"
119,METROPOLITAN LIFE INSURANCE,美国,"26,735.00","1,343.00","215,346.00","41,700"
120,INDUSTRIAL BANK OF JAPAN,日本,"26,495.80","-1,418.20","389,783.00","6,024"
121,INTEL,美国,"26,273.00","6,068.00","31,471.00","64,500"
122,LOCKHEED MARTIN,美国,"26,266.00","1,001.00","28,700.00","170,000"
123,TELECOM ITALIA,意大利,"26,163.90","2,204.10","53,094.10","123,966"
124,ALLSTATE,美国,"25,879.00","3,294.00","87,691.00","53,000"
125,UNITED TECHNOLOGIES,美国,"25,715.00","1,255.00","18,375.00","178,800"
126,PDVSA,委内瑞拉,"25,659.00",663.00,"48,816.00","50,821"
127,BANK ONE CORP.,美国,"25,595.00","3,108.00","261,496.00","91,310"
128,NICHIMEN,日本,"25,476.10",-170.30,"15,936.10","21,621"
129,GTE,美国,"25,473.00","2,172.00","43,615.00","120,000"
130,ROYAL&SUN ALLIANCE,英国,"25,435.80",757.50,"107,785.40","44,494"
131,ITO-YOKADO,日本,"25,400.60",518.00,"17,402.10","107,066"
132,J.SAINSBURY,英国,"25,139.10",928.10,"16,222.80","109,245"
133,BANCO DO BRASIL,巴西,"25,073.10",749.80,"107,227.30","72,350"
134,HOECHST,德国,"24,842.30","1,077.20","33,561.80","96,967"
135,UNITED PARCEL SERVICE,美国,"24,788.00","1,741.00","17,067.00","333,000"
136,USX,美国,"24,754.00",674.00,"21,133.00","52,279"
137,LLOYDS TSB GROUP,英国,"24,514.20","3,513.90","279,529.10","77,196"
138,SAFEWAY,美国,"24,484.20",806.70,"11,389.60","170,000"
139,THYSSEN KRUPP,德国,"24,427.90","1,066.70","17,640.20","116,174"
140,HYUNDAI,韩国,"24,373.30",6.00,"1,012.10",660
141,COSTCO,美国,"24,269.90",459.80,"6,259.80","48,825"
142,CNP ASSURANCES,法国,"24,108.00",305.50,"117,981.60","2,506"
143,CONAGRA,美国,"23,840.50",613.20,"11,702.80","82,629"
144,JOHNSON&JOHNSON,美国,"23,657.00","3,059.00","26,211.00","93,100"
145,ALCATEL,法国,"23,640.70","2,602.10","34,801.90","118,272"
146,DAIEI,日本,"23,573.50",-321.10,"17,039.80","100,000"
147,GROUPE AUCHAN,法国,"23,531.80",134.60,"16,144.90","110,000"
148,L.M.ERICSSON,瑞典,"23,190.00","1,639.70","20,647.30","103,667"
149,BELLSOUTH,美国,"23,123.00","3,527.00","39,410.00","88,450"
150,WALT DISNEY,美国,"22,976.00","1,850.00","41,378.00","117,000"
151,DRESDNER BANK,德国,"22,779.50","1,033.80","429,170.70","48,950"
152,MITSUBISHI HEAVY INDUSTRIES,日本,"22,748.50",141.50,"40,075.50","65,949"
153,WESTDEUTSCHE LANDESBANK,德国,"22,643.70",377.40,"416,093.00","14,072"
154,CREDIT LYONNAISG,法国,"22,568.40",183.10,"245,256.80","46,371"
155,PEPSICO,美国,"22,348.00","1,993.00","22,660.00","141,000"
156,MITSUI MUTUAL LIFE INSURANCE,日本,"22,225.60",70.40,"85,868.20","22,480"
157,INGRAM MICRO,美国,"22,034.00",245.20,"6,733.40","14,256"
158,BARCLAYS BANK,英国,"21,897.10","2,212.70","365,214.60","80,200"
159,NOVARTIS,瑞士,"21,873.80","4,184.10","40,283.90","82,449"
160,INDUSTRIAL&COMMERCIAL BANK OF CHINA,中国,"21,830.30",416.70,"390,915.70","565,619"
161,PROMODES,法国,"21,816.40",325.50,"12,310.00","66,233"
162,ENEL,意大利,"21,761.60","2,466.50","56,517.90","84,938"
163,NATIONAL WESTMINSTER BANK,英国,"21,718.10","2,680.20","309,472.50","64,400"
164,BRITISH AMERICAN TOBACCO,英国,"21,626.90","1,055.80","12,399.30","57,884"
165,CANON,日本,"21,616.20",838.00,"24,118.10","79,799"
166,NIPPON STEEL,日本,"21,587.80",89.80,"37,907.00","85,600"
167,FIRST UNION CORP,美国,"21,543.00","2,891.00","237,363.00","71,486"
168,CIGNA,美国,"21,437.00","1,292.00","114,612.00","49,900"
169,COMMERZBANK,德国,"21,216.90",991.00,"383,063.60","32,470"
170,MANNESMANN,德国,"21,194.70",534.90,"20,372.20","116,247"
171,BANK OF CHINA,中国,"21,143.90",683.90,"337,929.10","197,547"
172,CATERPILLAR,美国,"20,977.00","1,513.00","25,128.00","65,824"
173,SUMITOMO BANK,日本,"20,950.30","-4,450.60","464,144.40","14,995"
174,PEMEX(PETROLEOS MEXICANOS),墨西哥,"20,891.10","-1,108.20","42,782.30","131,433"
175,MCKESSON HBOC,美国,"20,857.30",154.90,"5,607.50","13,700"
176,PREUSSAG,德国,"20,810.80",276.40,"9,878.80","66,563"
177,LOEWS,美国,"20,713.00",464.80,"70,906.40","34,300"
178,AETNA,美国,"20,604.10",848.10,"105,148.10","41,100"
179,WELLS FARGO,美国,"20,482.00","1,950.00","202,475.00","92,178"
180,KANSAI ELECTRIC POWER,日本,"20,317.90",410.70,"60,593.60","26,333"
181,FUJI BANK,日本,"20,109.70","-3,301.70","489,128.70","13,976"
182,XEROX,美国,"20,019.00",395.00,"30,024.00","92,700"
183,SARA LEE,美国,"20,011.00",-523.00,"10,989.00","140,000"
184,PG&E CORP,美国,"19,942.00",719.00,"33,234.00","23,300"
185,LEHMAN BROTHERS HOLDINGS,美国,"19,894.00",736.00,"154,000.00","8,873"
186,AMERICAN STORES,美国,"19,866.70",233.70,"8,885.30","121,000"
187,NEW YORK LIFE INSURANCE,美国,"19,848.90",752.90,"90,368.10","7,186"
188,SAINT-GOBAIN,法国,"19,817.80","1,219.90","26,045.60","114,433"
189,DIAGEO,英国,"19,808.10","1,447.40","28,790.30","68,445"
190,COLUMBIA/HCA HEALTHCARE,美国,"19,681.00",379.00,"19,429.00","229,500"
191,RAYTHEON,美国,"19,530.00",864.00,"27,939.00","108,200"
192,INTERNATIONAL PARER,美国,"19,500.00",213.00,"26,356.00","82,000"
193,TELEFONICA,西班牙,"19,456.60","1,456.80","58,192.90","101,809"
194,EAST JAPAN RAILWAY,日本,"19,430.00",171.60,"61,524.40","87,800"
195,ASAHI MUTUAL LIFE INSURANCE,日本,"19,418.00",461.40,"102,812.30","30,480"
196,AMR,美国,"19,205.00","1,314.00","22,303.00","116,300"
197,JUSCO,日本,"19,171.30",140.90,"13,831.60","44,022"
198,AMERICAN EXPRESS,美国,"19,132.00","2,141.00","126,933.00","84,732"
199,SANWA BANK,日本,"18,849.80","-3,681.40","425,292.10","13,747"
200,JAPAN POSTAL SERVICE,日本,"18,849.20",161.30,"75,657.60","141,647"
201,COCA-COLA,美国,"18,813.00","3,533.00","19,145.00","29,500"
202,AEGON,荷兰,"18,726.90","1,359.40","154,042.10","20,723"
203,BCE,加拿大,"18,506.90","3,099.50","20,878.90","58,000"
204,RABOBANK,荷兰,"18,474.70","1,020.00","293,203.60","45,310"
205,DOW CHEMICAL,美国,"18,441.00","1,310.00","23,830.00","39,029"
206,J.P.MORGAN&CO,美国,"18,425.00",963.00,"261,067.00","15,674"
207,SAMSUNG ELECTRONICS,韩国,"18,394.20",-258.50,"20,031.00","62,264"
208,GROUPE PINAULT-PRINTEMPS,法国,"18,364.60",564.70,"14,807.80","80,000"
209,BRISTOL-MYERS SQUIBB,美国,"18,283.60","3,141.20","16,272.50","54,700"
210,DELL COMPUTER,美国,"18,243.00","1,460.00","6,877.00","24,400"
211,SANTANDER GROUP,西班牙,"18,168.40",951.80,"182,060.50","71,390"
212,FREDDIE MAC,美国,"18,048.00","1,700.00","321,421.00","3,200"
213,IRIG,意大利,"17,812.00","1,831.70","66,380.00","112,651"
214,MCI WORLDCOM,美国,"17,678.00","-2,669.00","80,193.00","77,000"
215,DUCK ENERGY,美国,"17,610.00","1,252.00","26,806.00","22,000"
216,NORTHERN TELECOM,加拿大,"17,575.00",-537.00,"19,732.00","75,052"
217,UAL,美国,"17,561.00",821.00,"18,559.00","95,035"
218,AUTONATION,美国,"17,487.30",499.50,"13,925.80","47,100"
219,SNCF,法国,"17,468.20",-51.50,"52,537.40","210,437"
220,SUPERVALU,美国,"17,420.50",191.30,"4,265.90","50,000"
221,ABBEY NATIONAL,英国,"17,397.00","1,753.60","295,805.30","27,963"
