排名,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
300,TAISEI,日本,"13,870.60",-44.40,"23,185.20","21,091"
301,BERKSHIRE HATHAWAY,美国,"13,832.00","2,830.00","122,237.00","47,566"
302,MAN,德国,"13,826.70",318.90,"8,366.80","64,054"
303,DEERE,美国,"13,821.50","1,021.40","18,001.50","3,700"
304,SINOCHEM,中国,"13,793.30",67.60,"4,953.70","8,219"
305,DENSO,日本,"13,760.10",461.30,"16,186.90","72,359"
306,BERGEN BRUNSWIG,美国,"13,720.00",3.10,"3,003.20","5,400"
307,SHARP,日本,"13,656.00",36.20,"17,070.80","48,820"
308,WINN-DIXIE STORES,美国,"13,617.50",198.60,"3,068.70","98,000"
309,BANKGESELLSCHAFT BERLIN,德国,"13,608.40",32.10,"221,632.30","16,673"
310,AKZO NOBEL,荷兰,"13,607.10",664.30,"14,043.50","85,900"
311,MARKS&SPENCER,英国,"13,605.20",615.60,"12,598.20","51,306"
312,SKANDIA GROUP,瑞典,"13,543.50",156.20,"46,202.10","10,185"
313,CANADIAN IMPERIAL BANK OF COMMERCE,加拿大,"13,536.10",721.80,"181,916.40","47,171"
314,TOYOTA TSUSHO,日本,"13,519.10",7.30,"5,980.20","6,420"
315,ROYAL BANK OF CANADA,加拿大,"13,506.70","1,246.70","177,371.50","53,468"
316,FLUOR,美国,"13,504.80",235.50,"5,019.20","56,886"
317,AMERICAN HOME PRODUCTS,美国,"13,462.70","2,474.30","21,079.10","52,984"
318,EMERSON ELECTRIC,美国,"13,447.20","1,228.60","12,659.80","111,800"
319,ITAUSA-INVESTIMENTOS ITAU,巴西,"13,415.90",404.20,"42,368.40","52,304"
320,COCA-COLA ENTERPRISES,美国,"13,414.00",142.00,"21,132.00","66,199"
321,MAY DEPARTMENT STORES,美国,"13,413.00",849.00,"10,553.00","127,000"
322,EASTMAN KODAK,美国,"13,406.00","1,390.00","14,733.00","86,200"
323,SMITHKLINE BEECHAM,英国,"13,395.80","1,004.40","15,001.70","59,500"
324,LG INTERNATIONAL,韩国,"13,388.20",8.80,"1,371.60","2,288"
325,UNICREDITO ITALIANO,意大利,"13,317.20",224.80,"172,035.30","35,600"
326,GLAXO WELLCOME,英国,"13,231.70","3,043.10","15,550.70","55,273"
327,GEORGIA-PACIFIC,美国,"13,223.00",98.00,"11,538.00","46,500"
328,ATLANTIC RICHFIELD,美国,"13,195.00",452.00,"25,199.00","18,400"
329,LIBERTY MUTUAL INSURANCE GROUP,美国,"13,166.00",385.00,"49,317.00","37,000"
330,CABLE&WIRELESS,英国,"13,141.90","1,502.10","28,227.60","50,671"
331,NATIONWIDE INS.ENTERPRISE,美国,"13,105.00","1,195.70","104,624.40","32,815"
332,BANCA INTESA,意大利,"13,067.80",650.30,"179,617.20","35,681"
333,NEWS CORP.,澳大利亚,"12,994.90","1,153.50","33,736.20","33,400"
334,KAJIMA,日本,"12,978.00","-1,553.40","20,284.10","13,210"
335,GROUPAMA,法国,"12,941.20",172.60,"68,888.00","25,700"
336,NORSK HYDRO,挪威,"12,908.00",497.20,"16,271.80","39,552"
337,LUFTHANSA GROUP,德国,"12,876.90",813.20,"14,433.80","54,867"
338,NIPPON EXPRESS,日本,"12,854.00",196.70,"9,692.50","59,475"
339,IBP,美国,"12,848.60",190.00,"3,008.10","40,000"
340,DANA,美国,"12,838.70",534.10,"10,137.50","86,400"
341,BERTELSMANN,德国,"12,803.20",480.20,"7,629.10","57,807"
342,L'OREAL,法国,"12,785.90",756.10,"12,374.50","49,665"
343,NATIONAL AUSTRALIA BANK,澳大利亚,"12,755.80","1,325.60","149,066.70","46,300"
344,WASHINGTON MUTUAL,美国,"12,745.60","1,486.90","165,493.30","27,330"
345,RITE AID,美国,"12,731.90",143.70,"10,421.70","89,900"
346,WASTE MANAGEMENT,美国,"12,703.50",-770.70,"22,715.20","67,676"
347,TRANSCANADA PIPELINES,加拿大,"12,690.70",291.20,"16,640.20","5,218"
348,ISUZU MOTORS,日本,"12,666.80",48.80,"13,739.30","28,508"
349,TAIYO MUTUAL LIFE INSURANCE,日本,"12,649.00",66.90,"59,111.50","16,261"
350,GOODYEAR TIRE&RUBBER,美国,"12,648.70",682.30,"10,589.30","98,265"
351,JOHNSON CONTROLS,美国,"12,586.80",337.70,"7,942.10","89,000"
352,UTILICORP UNITED,美国,"12,563.40",132.20,"5,991.50","4,300"
353,MIGROS,瑞士,"12,557.70",275.30,"10,847.20","76,876"
354,ASDA GROUP,英国,"12,539.40",504.40,"6,444.30","48,072"
355,ALSTOM,法国,"12,538.00",270.00,"21,233.00","113,707"
356,SHIMIZU,日本,"12,511.90",-994.70,"18,487.40","14,969"
357,NORINCHUKIN BANK,日本,"12,487.20",452.20,"414,618.90","2,858"
358,ABBOTT LABORATORIES,美国,"12,477.80","2,333.20","13,216.20","56,236"
359,OTTO VERSAND,德国,"12,436.70",201.00,"5,147.20","58,939"
360,SAFEWAY,英国,"12,425.10",402.30,"7,201.30","55,706"
361,MCDONALD'S,美国,"12,421.40","1,550.10","19,784.00","284,000"
362,COFCOG,中国,"12,401.90",93.20,"4,770.00","28,000"
363,CENTRICA,英国,"12,399.70",147.50,"6,635.60","16,427"
364,US WEST,美国,"12,378.00","1,508.00","18,407.00","54,483"
365,KINGFISHER,英国,"12,370.80",724.70,"10,075.40","75,264"
366,TYCO INTERNATIONAL,美国,"12,311.30","1,174.70","16,526.60","87,000"
367,KIMBERLY-CLARK,美国,"12,297.80","1,165.80","11,510.30","54,700"
368,LAGARDERE GROUPE,法国,"12,283.10",311.10,"11,457.90","49,961"
369,JAPAN AIRLINES,日本,"12,252.10",209.50,"16,511.30","19,455"
370,LOWE'S,美国,"12,244.90",482.40,"6,344.70","65,706"
371,LEGAL&GENERAL,英国,"12,134.50",674.60,"130,762.10","7,899"
372,HENKEL,德国,"12,127.80",373.50,"10,721.30","56,619"
373,ROYAL BANK OF SCOTLAND,英国,"12,103.70","1,149.30","135,411.30","31,680"
374,VIACOM,美国,"12,096.10",-122.40,"23,613.00","80,090"
375,PUBLIX SUPER MARKETS,美国,"12,067.10",378.30,"3,617.30","81,800"
376,BANKERS TRUST CORP.,美国,"12,048.00",-73.00,"133,115.00","20,541"
377,TOHOKU ELECTRIC POWER,日本,"12,041.80",294.50,"34,133.30","16,371"
378,TOSCO,美国,"12,021.50",106.20,"5,842.80","26,300"
379,SCHLUMBERGER,美国,"11,997.30","1,014.20","16,077.90","64,000"
380,DENTSU,日本,"11,992.50",53.00,"7,538.50","5,553"
381,METALLGESELLSCHAFT,德国,"11,991.20",151.20,"4,143.70","26,188"
382,MITSUBISHI CHEMICAL,日本,"11,982.50",-215.30,"16,771.40","17,576"
383,TRW,日本,"11,886.00",477.00,"7,169.00","78,000"
384,TELSTRA,澳大利亚,"11,865.40","2,060.10","16,390.10","66,760"
385,WOOLWORTHS,澳大利亚,"11,851.60",191.70,"2,529.00","100,000"
386,PHILLIPS PETROLEUM,美国,"11,845.00",237.00,"14,216.00","17,300"
387,PETROFINA,比利时,"11,793.80",508.10,"11,313.90","14,489"
388,BANK OF MONTREAL,加拿大,"11,782.90",922.70,"143,882.20","33,400"
389,BRITISH AEROSPACE,英国,"11,672.00","1,147.00","15,058.20","47,900"
390,JAPAN TRAVEL BUREAU,日本,"11,633.60",22.40,"3,389.10","12,277"
391,DAIDO LIFE INSURANCE,日本,"11,562.20",346.90,"46,450.00","22,866"
392,CHIYODA MUTUAL LIFE INSURANCE,日本,"11,560.50",154.30,"39,170.50","17,066"
393,TEXTRON,美国,"11,549.00",608.00,"13,721.00","64,000"
394,TECH DATA,美国,"11,529.00",129.00,"3,842.10","8,045"
395,ENTERGY,美国,"11,494.80",785.60,"22,848.00","12,757"
396,RELIANT ENERGY,美国,"11,488.50",-141.10,"19,138.50","12,916"
397,STORA ENSO,芬兰,"11,447.80",208.50,"18,099.30","40,679"
398,SOUTHERN,美国,"11,403.00",977.00,"36,192.00","31,848"
399,SUZUKI MOTOR,日本,"11,389.50",190.60,"9,556.20","13,896"
400,FUJI PHOTO FILM,日本,"11,248.50",559.70,"17,894.60","37,551"
401,ANHEUSER-BUSCH,美国,"11,245.80","1,233.30","12,484.30","24,344"
402,JARDINE MATHESON,中国,"11,229.50",50.60,"9,565.30","160,000"
403,ARBED,卢森堡,"11,212.30",226.10,"14,091.00","41,215"
404,"TOYS""R""US",美国,"11,200.00",-132.00,"7,899.00","94,000"
405,KYUSHU ELECTRIC POWER,日本,"11,188.70",202.10,"34,816.30","14,445"
406,RICOH,日本,"11,156.10",239.80,"13,745.30","65,400"
407,BRITISH POST OFFICE,英国,"11,099.10",712.70,"10,018.10","19,400"
408,KV/ERNER,挪威,"11,012.80",-219.70,"7,132.60","69,100"
409,PECHINEY,法国,"10,937.30",346.20,"10,799.60","33,155"
410,GEC(GENERAL ELECTRIC CO.),英国,"10,902.00","1,743.70","16,300.20","86,000"
411,BANK OF NOVA SCOTIA,加拿大,"10,901.20",952.80,"150,991.30","42,046"
412,LAFARGE 法国,法国,"10,899.50",518.60,"14,722.70","66,000"
413,CIRCUIT CITY GROUP,美国,"10,804.40",142.90,"3,445.30","54,430"
414,OBAYASHI,日本,"10,795.00",69.60,"17,481.00","12,042"
415,WEYERHAEUSER,美国,"10,766.00",294.00,"12,834.00","35,032"
416,YASUDA FIRE&MARINE INSURANCE,日本,"10,761.80",99.10,"31,758.50","12,115"
417,SEAGRAM,加拿大,"10,734.00",946.00,"22,179.00","28,900"
418,MASS.MUTUAL LIFE INSURANCE,美国,"10,668.10",432.80,"68,166.00","7,885"
419,USINOR,法国,"10,648.70",372.50,"13,113.10","48,456"
420,FUJI HEAVY INDUSTRIES,日本,"10,581.30",263.70,"8,284.70","19,882"
421,ADECCO,瑞士,"10,562.20",-134.50,"4,081.90","16,000"
422,UNION PACIFIC,美国,"10,553.00",-633.00,"29,374.00","53,000"
423,SUMITOMO METAL INDUSTRIES,日本,"10,538.10",-543.50,"22,969.30","51,070"
424,JAPAN ENERGY,日本,"10,466.30",138.20,"13,269.90","14,084"
425,GAZ DE FRANCE,法国,"10,400.80",536.20,"20,442.00","31,637"
426,KARSTADT,德国,"10,369.60",113.00,"6,428.00","89,399"
427,BRITISH STEEL,英国,"10,354.40",134.00,"11,575.50","44,200"
428,WHIRLPOOL,美国,"10,323.00",325.00,"7,935.00","61,716"
429,DEUTSCHE GENOSSENSCHAFTSBANK,德国,"10,295.80",58.00,"264,005.50","12,466"
430,GEORGE WESTON,加拿大,"10,292.20",521.10,"5,882.40","124,000"
431,TAKENAKA,日本,"10,243.40",62.20,"11,567.40","13,342"
432,AMERICAN GENERAL,美国,"10,251.00",764.00,"105,107.00","16,100"
433,TOKIA BANK,日本,"10,233.20","-2,243.40","268,822.70","11,094"
434,WARNER-LAMBERT,美国,"10,213.70","1,254.00","9,230.60","41,000"
435,KOBE STEEL,日本,"10,213.30",-304.10,"19,168.00","29,572"
436,EDISON INTERNATIONAL,美国,"10,208.00",668.00,"24,698.00","18,302"
437,AIR FRANCE GROUP,法国,"10,185.70",314.40,"11,059.10","55,605"
438,GREAT ATLANTIC&PACIFIC TEA,美国,"10,179.40",-67.20,"3,141.70","54,210"
439,SEKISUI HOUSE,日本,"10,160.30",176.60,"13,515.80","17,348"
440,POWER CORP.OF CANADA,加拿大,"10,148.60",283.10,"38,360.20","23,000"
441,BEST BUY,美国,"10,077.90",224.40,"2,512.50","33,500"
442,GILLETTE,美国,"10,056.00","1,081.00","11,902.00","43,100"
443,ELI LILLY,美国,"10,051.30","2,097.90","12,595.50","29,800"
444,KOREA ELECTRIC POWER,韩国,"10,050.50",786.30,"41,034.30","34,753"
445,SUMITOMO ELECTRIC INDUSTRIES,日本,"10,022.50",158.90,"12,618.50","63,177"
446,ASAHI GLASS,日本,"10,021.60",39.90,"15,607.20","44,065"
447,FLEET FINANCIAL GROUP,美国,"10,002.00","1,532.00","104,382.00","35,612"
448,BANCA COMMERCIALE ITALIANA,意大利,"9,962.30",515.30,"132,423.00","28,618"
449,DAI NIPPON PRINTING,日本,"9,932.10",238.60,"12,202.60","24,376"
450,CSX,美国,"9,898.00",537.00,"20,427.00","46,147"
451,TENET HEALTHCARE,美国,"9,895.00",261.00,"12,833.00","99,280"
452,EDEKA ZENTRALE,德国,"9,894.30",50.60,"2,504.30",723
453,SNOW BRAND MILK PRODUCTS,日本,"9,886.60",24.10,"4,585.60","15,307"
454,PENINSULAR&ORIENTAL STEAM NAV,英国,"9,798.60",450.80,"10,686.50","57,701"
455,SUM MICROSYSTEMS,美国,"9,790.80",762.90,"5,711.10","26,300"
456,SEPI,西班牙,"9,787.60",511.17,"19,955.10","71,233"
457,HUMANA,美国,"9,781.00",129.00,"5,217.00","17,000"
458,DDI,日本,"9,752.50",133.50,"13,389.30","3,024"
459,IDEMITSU KOSAN,日本,"9,748.00",15.80,"14,727.60","4,276"
460,POHANG IRON&STEEL,韩国,"9,716.00",680.10,"17,119.20","28,485"
461,CENTRAL JAPAN RAILWAY,日本,"9,656.10",85.20,"50,603.70","27,000"
462,TOPPAN PRINTING,日本,"9,571.40",208.90,"10,700.20","33,464"
463,NIKE,美国,"9,553.10",399.60,"5,397.40","22,800"
464,PACIFICARE HEALTH SYSTEMS,美国,"9,521.50",202.40,"4,630.90","8,700"
465,TAKASHIMAYA,日本,"9,519.20",36.50,"7,219.10","16,506"
466,AEROSPATIALE,法国,"9,509.60",175.80,"15,384.70","36,647"
467,OJI PAPER,日本,"9,436.40",-97.00,"14,835.90","13,563"
468,WEST JAPAN RAILWAY,日本,"9,427.80",70.50,"21,733.90","50,800"
469,KAWASAKI HEAVY INDUSTRIES,日本,"9,405.10",-48.00,"10,172.60","26,486"
470,LG ELECTRONICS 韩国,韩国,"9,378.00",-113.80,"11,085.60","60,753"
471,LIMITED 美国,美国,"9,346.90","2,053.60","4,549.70","80,650"
471,CATHAY LIFE,中国台湾,"9,286.90",448.20,"25,970.30","31,781"
473,FORTUM,芬兰,"9,269.50",232.60,"13,125.10","18,201"
474,PETRONAS,马来西亚,"9,267.30","1,491.30","20,944.30","20,767"
475,SCOTTISH WIDOWS FUND,英国,"9,250.40",N.A.,"49,718.50","2,671"
476,SUN LIFE ASSURANCE OF CANADA,加拿大,"9,232.50",36.40,"60,779.30","10,700"
477,KYOEI LIFE INSURANCE,日本,"9,231.50",161.70,"42,922.30","15,961"
478,H.J.HEINZ,美国,"9,209.30",801.60,"8,023.40","40,500"
479,KAWASHO,日本,"9,178.50",-6.80,"6,320.90","3,297"
480,ASAHI CHEMICAL INDUSTRY,日本,"9,167.80",136.10,"10,007.10","29,263"
