排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产额百万美元,股东权益百万美元,雇员人数
1,GENERAL ELECTRIC,美国,"168,369.0","49,630.0","222,142.0","23,418.0","647,000"
2,FORD MOTOR,美国,"146,991.0","4,446.0","262,867.0","26,762.0","371,702"
3,MITSUI,日本,"144,924.8",321.9,"61,144.5","5,391.5","41,694"
4,MITSUBISHI,日本,"140,203.7",394.1,"77,871.5","8,864.0","35,000"
5,ITOCHU,日本,"135,542.1",110.9,"59,179.6","3,961.3","6,999"
6,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"128,174.5","8,887.1","124,373.4","63,126.6","101,000"
7,MARUBENI,日本,"124,026.9",178.6,"60,865.4","4,134.9","65,000"
8,EXXON,美国,"119,434.0","7,510.0","95,527.0","43,542.0","79,000"
9,SUMITOMO,日本,"119,281.3","1,292.8","43,506.3","4,500.3","26,200"
10,TOYATA MOTOR,日本,"108,702.0","3,426.2","102,417.0","45,762.4","150,736"
11,WAL-MART STORES,美国,"106,147.0","3,056.0","39,501.0","17,143.0","675,000"
12,GENERAL ELECTRIC,美国,"79,179.0","7,280.0","272,402.0","31,125.0","239,000"
13,NISSHO IWAI,日本,"78,921.2",136.9,"43,647.6","2,184.1","17,497"
14,NIPPON TELEGRAPH＆TELEPHONE,日本,"78,320.7","1,330.3","115,864.5","36,997.5","230,300"
15,INTL.BUSINESS MACHINES,美国,"75,947.0","5,429.0","81,132.0","21,628.0","268,648"
16,HITACHI,日本,"75,669.0",784.0,"80,328.2","26,472.3","330,152"
17,AT＆T,美国,"74,525.0","5,908.0","55,552.0","20,295.0","130,400"
18,NIPPON LIFE INDURANCE,日本,"72,575.0","2,799.1","322,759.2","4,822.0","86,695"
19,MOBIL,美国,"72,267.0","2,964.0","46,408.0","19,072.0","43,000"
20,DAIMLER-BENZ,德国,"71,589.3","1,776.1","72,331.5","16,975.2","290,029"
21,BRITISH PETROLEUM,英国,"69,851.9","3,985.2","55,307.3","21,725.9","53,150"
22,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"68,147.5","1,223.9","70,100.0","29,792.1","270,651"
23,VOLKSWAGEN,德国,"66,527.5",437.9,"60,823.3","7,375.2","260,811"
24,DAEWOO,韩国,"65,160.2",468.3,"73,091.6","10,432.2","186,314"
25,SIEMENS,德国,"63,704.7","1,877.1","57,310.1","15,431.0","379,000"
26,CHRYSLER,美国,"61,397.0","3,529.0","56,184.0","11,571.0","126,000"
27,NISSAM MOTOR,日本,"59,118.2",690.2,"60,248.1","10,931.8","135,331"
28,ALLIANZ,德国,"56,577.2","1,096.3","200,361.9","9,884.7","65,836"
29,U.S.POSTAL SERVICE,美国,"56,402.0","1,567.2","51,603.5","2,623.5","887,546"
30,PHILIP MORRIS,美国,"54,553.0","6,303.0","54,871.0","14,218.0","154,000"
31,UNILEVER,英国/荷兰,"52,067.0","2,499.7","30,993.3","8,803.6","306,000"
32,FLAT,意大利,"50,509.0","1,470.1","70,111.8","15,166.2","237,865"
