排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
176,VIACOM,美国,"26,585.3","1,416.9","89,848.5","63,205.0","117,750"
177,MITSUI,日本,"26,385.0",605.4,"64,555.1","9,259.1","39,735"
178,SPRINT,美国,"26,202.0","1,215.0","42,850.0","13,224.0","66,900"
179,SYSCO,美国,"26,140.3",778.3,"6,936.5","2,197.5","47,400"
180,FRANZ HANIEL,德国,"26,073.6",317.7,"13,699.9","3,423.8","43,649"
181,TIAA-CREF,美国,"26,016.2",514.3,"303,763.6","10,241.5","5,671"
182,NIPPON STEEL,日本,"25,902.9",367.5,"35,621.6","9,021.7","46,233"
183,AMERICAN EXPRESS,美国,"25,866.0","2,987.0","175,001.0","15,323.0","78,200"
184,MAZDA MOTOR,日本,"25,816.6",300.1,"17,259.2","2,139.7","35,627"
185,NEW YORK LIFE INSURANCE,美国,"25,699.7",695.0,"131,267.2","9,136.8","12,180"
186,PETRONAS,马来西亚,"25,660.9","6,226.0","53,474.8","25,683.6","30,634"
187,SNCF,法国,"25,490.7",12.4,"47,286.0","3,697.0","243,944"
188,LLOYDS TSB GROUP,英国,"25,378.0","5,319.5","451,136.8","17,228.3","71,609"
189,INDIAN OIL,印度,"25,316.3","1,631.2","13,956.6","5,516.2","37,158"
190,KDDI,日本,"25,196.6","1,036.0","25,371.9","9,702.4","13,127"
191,INTERNATIONAL PAPER,美国,"25,179.0",302.0,"35,525.0","8,237.0","83,000"
192,BEST BUY,美国,"24,901.0",705.0,"8,652.0","3,422.0","100,000"
193,NOVARTIS,瑞士,"24,864.0","5,016.0","49,317.0","30,429.0","78,541"
194,BOUYGUES,法国,"24,697.4",509.3,"31,620.3","6,471.9","124,300"
195,MILLEA HOLDINGS,日本,"24,573.5",986.4,"105,793.2","22,211.9","19,799"
196,MARUBENI,日本,"24,559.8",306.0,"40,891.7","3,777.4","24,417"
197,TYSON FOODS,美国,"24,549.0",337.0,"10,486.0","3,954.0","120,000"
198,WACHOVIA CORP,美国,"24,474.0","4,264.0","401,032.0","32,428.0","86,670"
199,NORSK HYDRO,挪威,"24,276.3","1,550.0","32,862.6","13,239.5","42,911"
200,RABOBANK,荷兰,"24,124.7","1,587.9","508,700.7","24,120.4","50,849"
201,A.PMφLLER-MAERSK GROUP,丹麦,"23,887.9","2,626.2","29,312.3","15,616.8","60,000"
202,GOLDMAN SACHS GROUP,美国,"23,623.0","3,005.0","403,799.0","21,632.0","19,476"
203,KMART HOLDING,美国,"23,485.0",-614.0,"6,084.0","2,192.0","158,000"
204,DUKE ENERGY,美国,"23,483.0","-1,323.0","56,203.0","13,748.0","23,800"
205,ROCHE GROUP,瑞士,"23,212.9","2,281.9","48,097.4","19,057.5","65,357"
206,HONEYWELL INTERNATIONAL,美国,"23,103.0","1,324.0","29,344.0","10,729.0","108,000"
207,ABB,瑞士,"23,079.0",-767.0,"30,413.0","3,026.0","116,464"
