排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产额百万美元,股东权益百万美元,雇员人数
469,MITSUBISHI MATERIALS,日本,"9,743.2",82.0,"12,592.4","2,342.6","34,000"
470,INCHCAPE,英国,"9,716.4",12.8,"5,307.2","1,300.4","37,889"
471,CATHAY LIFE,中国台湾,"9,695.7",642.9,"22,729.2","1,974.2",N.A.
472,PENINSULAR & ORIENTAL STEAM NAV.,英国,"9,693.8",545.5,"10,590.6","4,637.5","58,620"
473,NORWEST CORP.,美国,"9,659.7","1,351.0","88,540.2","7,022.2","55,729"
474,CBS,美国,"9,632.0",549.0,"16,715.0","8,080.0","51,444"
475,WELLS FARGO & CO.,美国,"9,608.0","1,155.0","97,456.0","12,889.0","33,100"
476,DDI,日本,"9,599.3",67.7,"9,724.3","1,637.2","6,427"
477,BANK OF NOVA SCOTIA,加拿大,"9,594.2","1,102.8","138,500.1","6,669.8","38,648"
478,ENTERGY,美国,"9,561.7",247.7,"27,000.7","6,693.5","17,198"
479,MASSACHUSETTS MUTUAL LIFE INS.,美国,"9,551.2",351.8,"63,088.0","2,873.4","7,360"
480,MONSANTO,美国,"9,457.0",470.0,"10,774.0","4,104.0","21,900"
481,MITSUI FUDOSAN,日本,"9,439.4",-256.8,"23,297.8","3,875.1","19,488"
482,COASTAL,美国,"9,398.6",301.5,"11,625.2","3,282.4","13,200"
483,H.J.HEINZ,美国,"9,357.0",301.9,"8,437.8","2,440.4","44,700"
484,NORWICH UNION,英国,"9,285.0",439.0,"86,137.0","8,388.8","16,325"
485,WASTE MANAGEMENT,美国,"9,273.4","-1,176.1","13,589.1","1,345.7","58,900"
486,KUMAGAI GUMI,日本,"9,240.6","-1,872.0","12,862.7",213.5,"10,000"
487,EDISON INTERNATIONAL,美国,"9,235.1",700.0,"25,101.0","5,527.0","14,085"
488,BANCA NAZIONALE DEL LAVORO,意大利,"9,198.4","-1,644.9","102,682.7","5,834.3","24,719"
489,LIMITED,美国,"9,188.8",217.4,"4,268.2","2,045.0","137,100"
490,NIKE,美国,"9,186.5",795.8,"5,361.2","3,155.8","21,800"
491,CEA-INDUSTRIE,法国,"9,184.6",325.2,"24,521.0","3,525.8","42,106"
492,NORTHROP GRUMMAN,美国,"9,153.0",407.0,"9,677.0","2,623.0","52,000"
493,DEGUSSA,德国,"9,148.2",226.7,"5,271.4","1,251.1","25,736"
494,FARMLAND INDUSTRIES,美国,"9,147.5",N.A.,"2,645.3",822.0,"14,600"
495,CREDITO ITALIANO,意大利,"9,130.6",282.2,"99,986.1","4,374.8","23,903"
496,AUSTRALIA & NEW ZEALAND BANKING,澳大利亚,"9,115.7",788.0,"100,100.3","5,027.4","35,926"
497,COLGATE-PALMOLIVE,美国,"9,056.7",740.4,"7,538.7","2,178.6","37,800"
498,KOMATSU,日本,"8,994.3",156.7,"11,710.9","3,931.0","26,871"
499,PACIFICARE HEALTH SYSTEMS,美国,"8,982.7",-21.7,"4,868.0","2,062.2","9,700"
500,SUN,美国,"8,968.0",263.0,"4,667.0","1,462.0","10,937"
