排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
1,GENERAL MOTORS,美国,"176,558.0","6,002.0","273,921.0","20,059.0","388,000"
2,WAL-MART STORES,美国,"166,809.0","5,377.0","70,245.0","25,848.0","1,140,000"
3,EXXON MOBIL,美国,"163,881.0","7,910.0","144,521.0","63,466.0","106,000"
4,FORD MOTOR,美国,"162,558.0","7,237.0","276,229.0","27,537.0","364,550"
5,DAIMLERCHRYSLER,德国,"159,985.7","6,129.1","175,068.8","36,142.9","466,938"
6,MITSUI,日本,"118,555.2",320.5,"62,360.0","6,380.8","38,454"
7,MITSUBISHI,日本,"117,765.6",233.7,"78,949.2","8,830.5","42,050"
8,TOYOTA MOTOR,日本,"115,670.9","3,653.4","160,571.6","66,266.8","214,631"
9,GENERAL ELECTRIC,美国,"111,630.0","10,717.0","405,200.0","42,557.0","340,000"
10,ITOCHU,日本,"109,068.9",(792.8),"59,153.9","2,742.9","5,306"
11,ROYAL DUTCH/SHELL GROUP,英国/荷兰,"105,366.0","8,584.0","113,883.0","56,171.0","96,000"
12,SUMITOMO,日本,"95,701.6",314.9,"47,819.8","6,183.6","33,057"
13,NIPPON TELEGRAPH & TELEPHONE,日本,"93,591.7",(609.0),"179,512.2","59,831.4","223,954"
14,MARUBENI,日本,"91,807.4",18.5,"54,446.9","3,161.9","32,000"
15,AXA,法国,"87,645.7","2,155.8","508,647.3","16,395.6","92,008"
16,INTERNATIONAL BUSINESS MACHINES,美国,"87,548.0","7,712.0","87,495.0","20,511.0","307,401"
17,BP AMOCO,英国,"83,566.0","5,008.0","89,561.0","43,281.0","80,400"
18,CITIGROUP,美国,"82,005.0","9,867.0","716,900.0","49,700.0","176,900"
19,VOLKSWAGEN,德国,"80,072.7",874.7,"67,275.9","9,637.0","306,275"
20,NIPPON LIFE INSURANCE,日本,"78,515.1","3,405.4","423,281.5","10,559.9","71,434"
21,SIEMENS,德国,"75,337.0","1,773.7","65,488.8","17,283.0","443,000"
22,ALLIANZ,德国,"74,178.2","2,382.1","383,686.9","28,854.8","113,584"
23,HITACHI,日本,"71,858.5",152.0,"95,911.7","28,042.8","398,348"
24,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"65,555.6",895.5,"74,946.3","33,804.8","290,448"
25,NISSHO IWAI,日本,"65,393.2",91.8,"39,762.9","1,778.8","18,446"
26,U.S.POSTAL SERVICE,美国,"62,726.0",363.0,"55,693.0",(447.0),"905,766"
27,ING GROUP,荷兰,"62,492.4","5,250.2","493,948.6","34,635.5","86,040"
28,AT & T,美国,"62,391.0","3,428.0","169,406.0","78,927.0","147,800"
29,PHILIP MORRIS,美国,"61,751.0","7,675.0","61,381.0","15,305.0","137,000"
30,SONY,日本,"60,052.7","1,094.2","66,369.5","21,283.1","189,700"
31,DEUTSCHE BANK,德国,"58,585.1","2,694.4","841,796.9","23,200.2","93,232"
32,BOEING,美国,"57,993.0","2,309.0","36,147.0","11,462.0","197,000"
33,DAI-ICHI MUTUAL LIFE INSURANCE,日本,"55,104.7","1,672.2","294,387.2","6,284.1","60,792"
34,HONDA MOTOR,日本,"54,773.5","2,356.7","47,759.2","18,820.9","112,000"
35,ASSICURAZIONI GENERALI,意大利,"53,723.2",871.5,"175,930.1","7,167.3","56,593"
36,NISSAN MOTOR,日本,"53,679.9","(6,146.2)","63,775.9","9,061.1","141,526"
37,E.ON,德国,"52,227.7","2,845.9","52,504.5","14,415.1","131,602"
