排名,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
352,SHV HOLDINGS,荷兰,"17,022.7",394.4,"7,871.2","2,137.0","27,546"
353,DAIEI,日本,"17,020.5","-4,744.7","15,599.5","-3,951.6","20,012"
354,AISIN SEIKI,日本,"17,018.9",434.7,"14,054.8","5,167.8","53,200"
355,LEAR,美国,"16,960.0",422.2,"9,944.4","2,730.1","110,000"
356,RICOH,日本,"16,879.7",773.6,"18,265.2","8,068.3","75,100"
357,RITE AID,美国,"16,816.4",302.5,"5,932.6",322.9,"54,824"
358,SUN LIFE FINANCIAL,加拿大,"16,705.8","1,291.3","137,147.2","12,028.7","13,802"
359,BAE SYSTEMS,英国,"16,664.9",-855.7,"29,205.5","9,069.6","73,300"
360,ROYAL & SUN ALLIANCE,英国,"16,536.9",-273.0,"46,703.5","5,130.0","28,355"
361,ROYAL MAIL HOLDINGS,英国,"16,522.8",433.5,"11,116.5","4,499.1","212,156"
362,SKANSKA,瑞典,"16,508.2",360.5,"9,406.4","2,417.6","53,803"
363,BAYERISCHE LANDESBANK,德国,"16,435.1",101.3,"452,785.4","12,110.6","8,940"
364,ELECTROLUX,瑞典,"16,424.9",428.6,"11,275.8","3,522.7","72,382"
365,CHRISTIAN DIOR,法国,"16,418.9",577.1,"35,167.1","5,441.0","58,679"
366,UAL,美国,"16,391.0","-1,721.0","20,705.0","-7,680.0","61,000"
367,MIGROS,瑞士,"16,338.4",438.6,"14,808.0","7,841.5","59,812"
368,NIPPON EXPRESS,日本,"16,314.0",288.5,"12,035.7","4,159.8","65,321"
369,ALLIANCE UNICHEM,英国,16304.7,306.2,"6,753.3","2,056.4","22,691"
370,GAP,美国,"16,267.0","1,150.0","10,048.0","4,936.0","152,000"
371,HON HAI PRECISION INDUSTRY,中国台湾,"16,239.5",892.3,"9,572.8","3,795.7","166,509"
372,SUMITOMO ELECTRIC INDUSTRIES,日本,"16,192.0",340.0,"16,228.5","6,459.1","107,285"
373,PTT,泰国,"16,023.0","1,557.6","12,541.2","4,231.0","4,807"
374,WASHINGTON MUTUAL,美国,"15,962.0","2,878.0","307,918.0","21,226.0","52,579"
375,FLEXTRONICS INTERNATIONAL,新加坡,"15,908.2",339.9,"11,007.6","5,224.0","92,000"
