排名,2004,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
443,-,Surgutneftegas,俄罗斯,"15,153.60",4046.2,"27,951.6",82
444,-,Finmeccanica,意大利,"15,129.50",463.5,"25,805.5","56,603"
445,442,Samsung,韩国,"15,113.70",77.3,"13,185.8","4,359"
446,494,Bank of Nova Scotia,加拿大,"15,054.20",2635.2,"266,244.1","46,631"
447,4354,ACS,西班牙,"15,052.30",756.3,"20,893.1","113,273"
448,411,Anheuser-Busch,美国,"15,035.70",1839.2,"16,555.0","31,485"
449,464,Komatsu,日本,"15,032.40",1009.4,"14,002.1","34,597"
450,-,Carso Global Telecom,墨西哥,"14,956.50",1020.2,"24,562.0","75,484"
451,-,Cemex,墨西哥,"14,934.50",2058.3,"26,718.9","51,771"
452,353,Daiei,日本,"14,927.90",3681.9,"11,597.7","1,544"
453,379,Bombardier,加拿大,"14,903.00",249.0,"17,482.0","53,559"
454,-,Quanta Computer,中国台湾,"14,900.50",339.6,"11,517.9","44,687"
455,-,Pulte Homes,美国,"14,895.50",1491.9,"13,048.2","13,400"
456,470,Henkel,德国,"14,878.50",940.6,"16,447.9","51,724"
457,418,Royal KPN,荷兰,"14,831.20",1785.6,"26,778.6","26,598"
458,-,Holcim,瑞士,"14,819.50",1235.8,"28,916.7","59,901"
459,443,Sodexho Alliance,法国,"14,819.00",201.9,"9,788.5","324,446"
460,458,Nordea Bank,瑞典,"14,798.90",2811.9,"384,007.8","28,925"
461,462,Kobe Steel,日本,"14,726.30",746.9,"17,579.6","29,068"
462,409,Tohoku Electric Power,日本,"14,662.10",478.5,"34,866.2","22,417"
463,434,COFCO,中国,"14,653.80",198.6,"9,006.0","45,104"
464,445,Eli Lilly,美国,"14,645.30",1979.6,"2,458.8","42,600"
465,378,Computer Sciences,美国,"14,623.60",634.0,"12,943.3","79,000"
466,482,Iberdrola,西班牙,"14,585.50",1717.3,"35,951.7","17,184"
467,446,SK Networks,韩国,"14,570.50",466.7,"5,196.3","2,408"
468,196,CBS,美国,"14,536.40",(7089.1),"43,029.6","32,160"
469,479,Schneider Electric,法国,"14,511.70",1235.5,"19,598.3","88,670"
470,448,China First Automotive Works,中国,"14,510.80",116.1,"13,307.9","137,175"
471,438,Kingfisher,英国,"14,483.80",252.2,"14,855.4","63,800"
472,-,Inbev,比利时,"14,483.30",1123.3,"27,791.8","77,000"
473,474,Humana,美国,"14,418.10",308.5,"6,869.6","18,700"
474,457,Onex,加拿大,"14,395.50",796.4,"12,708.2","138,000"
475,-,Shanghai Automotive,中国,"14,365.20",21.4,"16,152.4","64,297"
476,465,AFLAC,美国,"14,363.00",1483.0,"56,361.0","7,263"
477,-,Schlumberger,美国,"14,317.20",2207.0,"18,077.5","60,000"
478,468,Whirlpool,美国,"14,317.00",422.0,"8,248.0","66,000"
479,452,Progressive,美国,"14,303.40",1393.9,"18,898.6","28,336"
480,459,Office Depot,美国,"14,278.90",273.8,"6,098.5","47,000"
481,-,Friends Provident,英国,"14,277.90",307.2,"85,984.6","4,968"
482,447,Eastman Kodak,美国,"14,268.00",(1362.0),"14,921.0","51,000"
483,449,AREVA,法国,"14,196.30",1303.4,"29,307.6","58,760"
484,489,Scottish Power,英国,"14,172.00",2752.9,"22,047.6","9,793"
485,-,China Railway Construction,中国,"14,138.90",53.2,"10,162.6","227,000"
486,-,China State Construction,中国,"14,122.40",166.4,"13,083.0","332,585"
487,432,GUS,英国,"14,118.50",1016.0,"12,908.4","42,220"
488,469,Chubb,美国,"14,082.30",1825.9,"48,060.7","10,800"
489,-,Paccar,美国,"14,057.40",1133.2,"13,715.4","21,900"
490,437,United States Steel,美国,"14,039.00",910.0,"9,822.0","46,000"
491,444,Isuzu Motors,日本,"13,971.50",520.7,"9,904.9","22,536"
492,-,Apple Computer,美国,"13,931.00",1335.0,"11,551.0","15,810"
493,421,Marks & Spencer,英国,"13,909.20",933.1,"9,037.8","48,581"
494,451,Qwest Communications,美国,"13,903.00",(779.0),"21,497.0","39,348"
495,-,Lennar,美国,"13,870.30",1355.2,"12,541.2","13,687"
496,-,D.R. Horton,美国,"13,863.70",1470.5,"12,514.8","8,900"
497,465,Asahi Glass,日本,"13,863.50",545.0,"1,763.0","56,857"
498,-,State Bank of India,印度,"13,755.80",1250.4,"17,638.9","198,774"
499,-,Sumitomo Chemical,日本,"13,748.50",800.8,"18,462.2","24,160"
500,-,Nike,美国,"13,739.70",1211.6,"8,793.6","26,000"
