排名,2004,公司名称,国家,营业收入百万美元,利润百万美元,资产百万美元,雇员人数
200,206,Honeywell Intl.,美国,"28,862.00",1655.0,"32,294.0","116,000"
201,207,Ingram Micro,美国,"28,808.30",216.9,"7,035.0","13,000"
202,224,China Mobile Communications,中国,"28,777.80",5053.8,"67,072.3","107,698"
203,182,J. Sainsbury,英国,"28,649.00",114.2,"22,110.2","96,200"
204,209,Roche Group,瑞士,"28,495.60",4643.7,"52,630.7","68,218"
205,188,DuPont,美国,"28,491.00",2053.0,"33,250.0","60,000"
206,371,Hon Hai Precision Industry,中国台湾,"28,350.10",1268.1,"13,975.0","210,932"
207,203,Denso,日本,"28,160.40",1498.4,"28,917.2","105,723"
208,253,Mittal Steel,荷兰,"28,132.00",3365.0,"31,402.0","224,286"
209,176,Swiss Reinsurance,瑞士,"28,092.80",1164.3,"166,277.8","8,882"
210,193,New York Life Insurance,美国,"28,051.00",1421.6,"153,951.6","13,180"
211,200,Johnson Controls,美国,"28,019.50",909.4,"164,144.4","114,000"
212,249,Gaz de France,法国,"27,826.00",2165.8,"52,817.3","52,958"
213,248,UES of Russia,俄罗斯,"27,768.10",1868.2,"11,779.5","461,200"
214,232,RAG,德国,"27,762.10",210.7,"35,613.7","98,010"
215,185,Marubeni,日本,"27,732.20",651.8,"38,876.4","27,377"
216,235,Coles Myer,澳大利亚,"27,408.80",465.4,"7,108.2","93,766"
217,212,China Life Insurance,中国,"27,389.20",25.0,"89,804.9","76,324"
218,202,JFE Holdings,日本,"27,365.90",2879.3,"30,767.7","53,111"
219,180,Delphi,美国,"27,201.00",(6369.0),"17,210.0","185,200"
220,145,Hartford Financial Services,美国,"27,083.00",2274.0,"285,557.0","30,000"
221,194,KDDI,日本,"27,034.10",1683.2,"21,195.3","14,021"
222,216,Norsk Hydro,挪威,"27,032.80",2426.7,"33,552.8","32,765"
223,210,Vinci,法国,"26,991.50",1082.5,"30,543.7","133,513"
224,251,Samsung Life Insurance,韩国,"26,692.30",618.4,"102,535.4","6,310"
225,223,Alcoa,美国,"26,601.00",1233.0,"33,696.0","129,000"
226,269,National Australia Bank,澳大利亚,"26,471.40",3163.3,"320,414.2","38,933"
227,279,Manulife Financial,加拿大,"26,446.50",2715.9,"275,797.7","46,000"
228,222,Air France-KLM Group,法国,"26,098.90",1110.8,"32,043.0","102,122"
229,190,SNCF,法国,"26,086.40",1579.3,"41,925.5","205,839"
230,248,Old Mutual,英国,"26,084.10",1575.7,"138,324.6","42,950"
231,201,Tyson Foods,美国,"26,014.00",353.0,"10,504.0","114,000"
232,238,George Weston,加拿大,"25,947.20",576.0,"15,916.7","150,000"
233,230,TIAA-CREF,美国,"25,916.80",2000.8,"399,160.8","6,038"
234,192,International Paper,美国,"25,797.00",1100.0,"28,771.0","68,700"
235,211,Mazda Motor,日本,"25,788.90",589.2,"15,159.2","36,626"
236,276,POSCO,韩国,"25,677.80",3916.4,"27,211.9","22,170"
237,266,Idemitsu Kosan,日本,"25,370.00",241.9,"19,326.5","7,737"
238,146,Centrica,英国,"25,062.70",1839.3,"22,815.5","35,410"
239,199,Vivendi,法国,"25,061.30",3919.0,"52,470.8",34031
240,277,Korea Electric Power,韩国,"24,841.00",2350.5,"73,934.0","20,354"
241,254,Cisco Systems,美国,"24,801.00",5741.0,"33,883.0","38,413"
242,225,Sharp,日本,"24,705.00",783.2,"21,699.0","46,872"
243,221,Mitsubishi Heavy Industries,日本,"24,660.80",263.3,"34,600.2","62,212"
244,228,HCA,美国,"24,455.00",1424.0,"22,225.0","165,450"
245,250,Bridgestone,日本,"24,440.20",1641.8,"22,959.9","123,727"
246,240,St. Paul Travelers,美国,"24,365.00",1622.0,"113,187.0","31,900"
247,208,Bunge,美国,"24,275.00",530.0,"11,446.0","23,495"
248,260,Ladbrokes,英国,"24,271.00",601.2,"9,332.4","50,990"
249,255,Suzuki Motor,日本,"24,257.60",582.4,"15,676.7","40,798"
250,312,Royal Bank of Canada,加拿大,"24,145.60",2781.4,"398,050.5","60,012"
251,289,Woolworths,澳大利亚,"24,035.70",594.6,"6,828.2","79,311"
252,233,La Poste,法国,"24,017.50",692.1,"130,710.5","303,405"
253,267,AstraZeneca,英国,"23,950.00",4706.0,"24,840.0","64,900"
254,281,Landesbank Baden-Wurttemberg,德国,"23,943.70",836.2,"477,625.0","12,551"
255,339,Bank Of China,中国,"23,860.10",3851.6,"587,348.8","209,265"
256,282,News Corp.,美国,"23,859.00",2128.0,"54,692.0","44,000"
257,318,Nippon Mining Holdings,日本,"23,615.30",855.9,"15,760.3","9,579"
258,227,Fuji Photo Film,日本,"23,560.20",326.9,"25,658.6","75,845"
259,347,Hutchison Whampoa,中国香港,"23,474.80",1844.1,"77,001.9","200,000"
260,272,Compass Group,英国,"23,468.70",1.8,"14,764.9","410,074"
261,231,TUI,德国,"23,364.90",567.5,"18,080.9","62,947"
262,387,Federated Dept. Stores,美国,"23,347.00",1406.0,"33,168.0","232,000"
263,349,Hess,美国,"23,255.00",1242.0,"19,115.0","11,610"
264,242,Delhaize Group,比利时,"23,162.00",453.4,"12,094.7","1,357,000"
265,373,PTT,泰国,"23,109.00",2125.7,"15,848.8","7,843"
266,316,China Southern Power Grid,中国,"23,105.00",367.1,"32,620.2","168,182"
267,257,Coca-Cola,美国,"23,104.00",4872.0,"29,427.0","55,000"
268,246,Weyerhaeuser,美国,"23,000.00",733.0,"28,229.0","49,900"
269,376,Banco Bradesco,巴西,"22,920.40",2265.2,"89,352.8","73,881"
270,226,East Japan Railway,日本,"22,896.90",1391.7,"57,814.3","72,802"
271,298,Aetna,美国,"22,885.00",1634.5,"44,364.6","28,200"
272,-,KBC Group,比利时,"22,879.30",2794.5,"387,305.1","50,479"
273,283,Magna International,加拿大,"22,811.00",639.0,"12,321.0","82,800"
274,313,Sumitomo,日本,"22,799.90",1415.3,"56,884.6","81,700"
275,236,Massachusetts Mutual Life Insurance,美国,"22,798.80",1446.0,"138,365.0","11,611"
276,219,Kansai Electric Power,日本,"22,779.10",1422.4,"58,110.1","30,674"
277,315,China Construction Bank,中国,"22,770.60",5748.8,"568,228.5","300,288"
278,265,Adecco,瑞士,"22,742.70",562.9,"8,067.1","35,284"
279,262,China Telecommunications,中国,"22,735.80",2376.3,"67,751.7","407,982"
280,256,Endesa,西班牙,"22,650.70",3953.8,"65,306.9","27,204"
281,258,ABB,瑞士,"22,642.00",735.0,"22,276.0","103,500"
282,273,Lufthansa Group,德国,"22,446.90",562.9,"22,932.7","92,303"
283,285,Abbott Laboratories,美国,"22,337.80",3372.1,"29,141.2","59,735"
284,480,Danske Bank Group,丹麦,"22,336.50",2137.3,"384,626.0","19,128"
285,290,Comcast,美国,"22,255.00",928.0,"103,146.0","80,000"
286,311,UniCredito Italiano,意大利,"22,230.70",3069.1,"920,870.2","140,000"
287,241,Bertelsmann,德国,"22,229.50",1093.5,"27,049.9","88,516"
288,165,PPR,法国,"22,075.00",665.3,"27,134.4","84,316"
289,239,Merck,美国,"22,011.90",4631.3,"44,845.8","61,500"
290,323,Power Corp. of Canada,加拿大,"21,962.10",869.0,"96,733.9","34,568"
291,252,William Morrison Supermarkets,英国,"21,939.30",(452.6),"13,230.8","93,041"
292,296,Deere,美国,"21,930.50",1446.8,"33,636.8","47,400"
293,292,Raytheon,美国,"21,894.00",871.0,"24,381.0","80,000"
294,284,Nationwide,美国,"21,832.00",1149.0,"158,258.0","34,740"
295,263,T&D Holdings,日本,"21,588.80",313.9,"118,536.1","22,646"
296,309,Baosteel Group,中国,"21,501.40",1395.2,"26,523.0","92,682"
297,374,Washington Mutual,美国,"21,326.00",3432.0,"343,839.0","60,798"
298,308,General Dynamics,美国,"21,290.00",1461.0,"19,591.0","72,200"
299,288,Mitsubishi Chemical Holdings,日本,"21,276.60",755.8,"18,023.5","32,955"
300,273,Sanyo Electric,日本,"21,171.30",(1816.5),"18,262.7","106,389"
301,295,3M,美国,"21,167.00",3199.0,"20,513.0","69,315"
302,303,Liberty Mutual Ins. Group,美国,"21,161.00",1027.0,"78,824.0","39,072"
303,293,Groupama,法国,"21,093.80",676.0,"94,705.3","27,119"
304,287,Sinochem,中国,"21,089.00",260.2,"7,816.5","18,054"
305,343,Karstadt Quelle,德国,"21,004.20",(393.2),"10,779.6","68,190"
306,286,Halliburton,美国,"20,994.00",2358.0,"15,010.0","106,000"
307,331,SABIC,沙特阿拉伯,"20,865.50",5108.7,"36,516.7","17,000"
308,341,Wolseley,英国,"20,806.20",852.4,"11,295.8","53,668"
309,322,Publix Super Markets,美国,"20,744.80",989.2,"6,727.2","98,000"
310,-,Rio Tinto Group,英国/澳大利亚,"20,742.00",5215.0,"29,803.0","31,854"
311,328,Commerzbank,德国,"20,721.00",1447.6,"524,744.6","33,056"
312,325,AMR,美国,"20,712.00",(861.0),"29,495.0","88,400"
313,214,Alcan,加拿大,"20,659.00",129.0,"26,638.0","65,000"
314,244,BellSouth,美国,"20,613.00",3294.0,"56,553.0","63,066"
315,302,Tech Data,美国,"20,542.10",26.6,"4,404.6","8,250"
316,274,Electronic Data Systems,美国,"20,537.00",150.0,"17,087.0","117,000"
317,-,Poste Italiane,意大利,"20,485.20",433.5,"80,858.6","147,321"
318,314,McDonald's,美国,"20,460.20",2602.2,"29,988.8","447,000"
319,338,L.M. Ericsson,瑞典,"20,311.60",3272.4,"26,237.4","56,055"
320,359,BAE Systems,英国,"20,228.30",1005.1,"34,738.2","80,000"
321,258,Bristol-Myers Squibb,美国,"20,222.00",3000.0,"28,138.0","43,000"
322,356,Cepsa,西班牙,"20,114.40",1255.3,996.1,"10,783"
323,419,Banco Do Brasil,巴西,"19,959.90",1706.3,"108,318.4","83,751"
324,310,Supervalu,美国,"19,863.60",206.2,"6,038.3","52,400"
325,340,Lafarge,法国,"19,842.50",1361.9,"32,904.1","80,146"
326,307,Sara Lee,美国,"19,727.00",719.0,"14,412.0","137,000"
327,330,Goodyear Tire & Rubber,美国,"19,723.00",228.0,"15,627.0","80,000"
328,327,Itochu,日本,"19,592.10",1282.0,"40,655.6","42,967"
329,403,William Hill,英国,"19,530.60",202.5,"25,178.0","13,174"
330,297,Cendant,美国,"19,471.00",1341.0,"34,104.0","76,500"
331,-,Cathay Financial Holdings,中国台湾,"19,468.50",677.4,"93,320.2","32,200"
332,305,AutoNation,美国,"19,468.00",496.5,"8,824.5","27,000"
333,301,Japan Airlines,日本,"19,425.70",(417.3),"18,316.9","53,010"
334,-,OMV Group,奥地利,"19,389.50",1560.8,"18,225.9","49,919"
335,294,Michelin,法国,"19,371.60",1104.6,"19,912.3","127,319"
336,342,Northwestern Mutual,美国,"19,220.80",923.8,"133,057.2","4,643"
337,396,Cosmo Oil,日本,"19,100.00",545.8,"12,404.1","5,881"
338,300,Chubu Electric Power,日本,"18,994.00",1055.1,"48,663.5","23,557"
339,205,J.C. Penney,美国,"18,968.00",1088.0,"12,461.0","151,000"
340,243,Duke Energy,美国,"18,944.00",1824.0,"54,723.0","20,400"
341,352,SHV Holdings,荷兰,"18,825.70",444.3,"7,552.9","30,900"
342,417,Reliance Industries,印度,"18,773.30",2125.1,"20,889.7","12,540"
343,346,Wyeth,美国,"18,755.80",3656.3,"35,841.1","49,732"
344,354,Aisin Seiki,日本,"18,729.70",539.6,"15,708.4","59,500"
345,304,Mitsubishi Motors,日本,"18,725.10",(814.0),"13,200.7","34,911"
346,334,Coca-Cola Enterprises,美国,"18,706.00",514.0,"25,357.0","73,000"
347,335,Banca Intesa,意大利,"18,645.90",3758.8,"322,653.7","60,778"
348,319,Mitsui Sumitomo Insurance,日本,"18,608.60",632.9,"72,826.3","18,154"
349,-,Lyondell Chemical,美国,"18,606.00",531.0,"14,980.0","10,000"
350,406,Commonwealth Bank of Australia,澳大利亚,"18,576.60",3002.1,"250,806.9","35,313"
351,439,Countrywide Financial,美国,"18,536.90",2528.1,"175,085.4","54,456"
352,350,Corus Group,英国,"18,429.00",821.5,"13,634.3","48,200"
353,-,Gasunie Trade & Supply,荷兰,"18,311.70",44.7,"4,368.2",168
354,326,MAN Group,德国,"18,229.70",574.1,"16,511.6","607,776"
355,-,Scottish & Southern Energy,英国,"18,096.60",1145.7,"14,187.1","12,287"
356,358,Sun Life Financial Services,加拿大,"18,087.60",1540.7,"147,113.9","14,338"
357,365,Christian Dior,法国,"18,086.80",767.9,"37,697.9","63,683"
358,389,Koc Holding,土耳其,"18,083.70",443.8,"27,141.4","47,801"
359,336,L'oreal,法国,"18,057.60",2450.7,"28,175.3","52,403"
360,440,Dominion Resources,美国,"18,041.00",1033.0,"52,660.0","17,400"
361,398,CRH,爱尔兰,"17,954.20",1240.0,"18,935.2","666,466"
