排名,公司名称,国家,营业收入(百万美元),利润(百万美元),雇员人数
324,COSMO OIL,日本,"21,956.60",226.9,"6,103"
325,BHARAT PETROLEUM,印度,"21,862.20",473.1,"14,654"
326,PUBLIX SUPER MARKETS,美国,"21,819.70","1,097.20","103,000"
327,CPC,中国台湾,"21,796.10",-429.1,"14,729"
328,ALLIANCE BOOTS,英国,"21,754.00",731.9,"100,000"
329,MODONALD'S,美国,"21,586.40","3,544.20","465,000"
330,AMERICA MOVIL,墨西哥,"21,486.60","3,927.80","60,815"
331,TECH DATA,美国,"21,446.10",-97,"8,000"
332,HUMANA,美国,"21,416.50",487.4,"22,300"
333,SUN LIFE FINANCIAL,加拿大,"21,405.40","1,883.40","14,264"
334,POSTE ITALIANE,意大利,"21,398.80",847.7,"147,808"
335,ELECTRONIC DATA SYSTEMS,美国,"21,337.00",470,"131,000"
336,HINDUSTAN PETROLEUM,印度,"20,935.60",370.2,"10,891"
337,INTESA SANPAOLO,意大利,"20,790.80","3,210.70","55,665"
338,EDEKA ZENTRALE,德国,"20,733.10",170.9,"253,000"
339,NORTHWESTERN MUTUAL,美国,"20,726.20",829.4,"4,840"
340,COMMONWEALEH BANK OF AUSTRALIA,澳大利亚,"20,614.00","2,934.40","36,664"
341,MICHELIN,法国,"20,556.20",717.7,"115,755"
342,CHINA RAILWAY ENGENEERING,中国,"20,520.40",142.6,"275,866"
343,CATHAY FINANCIAL HOLDINGS,中国台湾,"20,436.40",325.2,"34,782"
344,SUMITOMO ELECTRIC INDUSTRIES,日本,"20,385.60",650,"133,853"
345,RAG,德国,"20,365.00","1,311.50","43,175"
346,WYETH,美国,"30,350.70","4,196.70","50,060"
347,AISIN SEIKI,日本,"20,336.20",571.9,"66,383"
348,GOODYEAR TIRE & RUBBER,美国,"20,258.00",-330,"77,000"
349,KOOKMIN BANK,韩国,"20,224.10","2,589.30","24,854"
350,EMERSON ELECTRIC,美国,"20,133.00","1,845.00","127,800"
351,CHRISTIAN DIOR,法国,"20,094.50","1,000.00","62,115"
352,J.C. PRNNEY,美国,"19,903.00","1,153.00","155,000"
353,L'OREAL,法国,"19,811.10","2,585.80","60,851"
354,COCA-COLA INTERPRISES,美国,"19,804.00","-1,143.00","74,000"
355,VATTENFALL,瑞典,"19,768.60","2,539.10","32,308"
356,SANYO ELECTRIC,日本,"19,737.80",-387.8,"94,906"
357,BANK OF NOVA SCOTIA,加拿大,"19,736.20","3,141.90","57,000"
358,JAPAN AIRLINES,日本,"19,680.40",-139.1,"51,497"
359,CVRD,巴西,"19,651.00","6,528.00","52,646"
360,TORONTO-DOMINION BANK,加拿大,"19,578.10","4,040.80","51,147"
