排序,公司名称,国家地区,营业收入百万美元,利润百万美元,资产百万美元,股东权益百万美元,雇员人数
1,WAL-MART STORES,美国,"246,525.0","8,039.0","94,685.0","39,337.0","1,300,000"
2,GENERAL MOTORS,美国,"186,763.0","1,736.0","370,782.0","6,814,0.0","350,000"
3,EXXON MOBIL,美国,"182,466.0","11,460.0","152,644.0","74,597.0","92,500"
4,ROYAL DUTCH/SHELL GROUP,荷/英,"179,431.0","9,419.0","152,691.0","60,064.0","116,000"
5,BP,英国,"178,721.0","6,845.0","159,125.0","69,409.0","115,250"
6,FORD MOTOR,美国,"163,871.0",-980.0,"289,357.0","5,590.0","350,321"
7,DAIMLER CHRYSLER,德国,"141,421.1","4,460.0","196,569.7","36,636.7","365,571"
8,TOYOTA MOTOR,日本,"131,754.2","7,752.7","174,922.6","62,913.2","264,096"
9,GENERAL ELECTRIC,美国,"131,698.0","14,118.0","575,244.0","63,706.0","315,000"
10,MITSUBISHI,日本,"109,386.1",494.6,"68,290.7","7,902.3","47,370"
11,MITSUI,日本,"108,630.7",255.5,"55,156.9","7,270.6","37,734"
12,ALLIANZ,德国,"101,930.2","-1,103.3","894,096.4","22,846.2","181,651"
13,CITIGROUP,美国,"100,789.0","15,276.0","1,097,190.0","86,718.0","252,500"
14,TOTAL,法国,"96,944.9","5,616.8","89,539.1","33,732.1","121,469"
15,CHEVRONTEXACO,美国,"92,043.0","1,132.0","77,359.0","31,604.0","53,014"
16,NIPPON TELEGRAPH&TELEPHONE,日本,"89,644.0","1,915.1","166,837.1","47,542.4","207,400"
17,ING GROUP,荷兰,"88,102.3","4,254.5","751,715.7","19,154.7","115,000"
18,ITOCHU,日本,"85,859.4",164.8,"37,834.3","3,594.4","39,109"
19,INTERNATIONAL BUSINESS MACHINES,美国,"83,132.0","3,579.0","96,484.0","22,782.0","315,889"
20,VOLKSWAGEN,德国,"82,203.7","2,443.0","114,268.9","25,849.4","324,892"
21,SIEMENS,德国,"77,205.2","2,386.5","77,022.4","23,244.4","426,000"
22,SUMITOMO,日本,"75,745.2",232.1,"41,061.0","5,281.2","31,589"
23,MARUBENI,日本,"72,164.8",248.8,"36,443.5","2,193.0","27,000"
24,VERIZON COMMUNICATIONS,美国,"67,625.0","4,079.0","167,468.0","32,616.0","229,497"
25,AMERICAN INTERNATIONAL GROUP,美国,"67,482.0","5,518.9","561,229.0","59,103.0","80,000"
26,HITACHI,日本,"67,228.0",228.7,"85,843.8","15,628.3","339,572"
27,U.S. POSTAL SERVICE,美国,"66,463.0",-676.0,"59,015.0","3,002.0","854,376"
28,HONDA MOTOR,日本,"65,420.4","3,501.5","64,777.1","22,176.7","12,900"
29,CARREFOUR,法国,"64,978.6","1,299.1","40,844.8","6,467.4","396,662"
30,ALTRIA GROUP,美国,"62,182.0","11,102.0","87,540.0","19,478.0","166,000"
31,AXA,法国,"62,050.8",897.2,"466,596.4","24,880.9","78,142"
32,SONY,日本,"61,334.6",948.0,"70,589.6","19,235.0","161,100"
33,NIPPON LIFE INSURANCE,日本,"61,174.5",927.2,"370,338.3","15,646.1","72,784"
34,MATSUSHITA ELECTRIC INDUSTRIAL,日本,"60,744.3",-159.6,"66,070.7","26,803.8","288,324"
35,ROYAL AHOLD,荷兰,"59,454.6",366.9,"30,444.5","5,758.8","270,739"
36,CONOCOPHILLIPS,美国,"58,384.0",-295.0,"76,836.0","29,517.0","57,300"
37,HOME DEPOT,美国,"58,247.0","3,664.0","30,011.0","19,802.0","300,000"
38,NESTLE,瑞士,"57,279.1","4,859.3","63,174.7","25,181.8","254,199"
39,MCKESSON,美国,"57,129.2",555.4,"14,353.4","1,528.5","24,500"
40,HEWLETT-PACKARD,美国,"56,588.0",-903.0,"70,710.0","36,262.0","141,000"
41,NISSAN MOTOR,日本,"56,040.8","4,063.7","61,976.4","15,249.6","127,625"
42,VIVENDI UNIVERSAL,法国,"54,977.1","-22,029.6","72,719.3","14,690.8","284,182"
43,BOEING,美国,"54,069.0",492.0,"52,342.0","7,696.0","165,000"
44,ASSICURAZIONI GENERALI,意大利,"53,598.9",-713.3,"246,304.8","8,241.2","59,753"
45,FANNIE MAE,美国,"52,901.1","4,618.8","887,257.0","16,288.0","4,700"
46,FIAT,意大利,"52,612.5","-3,732.6","97,086.0","8,018.0","189,969"
47,DEUTSCHE BANK,德国,"52,133.2",375.3,"795,772.2","31,470.8","77,442"
48,CREDIT SUISSE,瑞士,"52,121.7","-2,125.8","691,149.5","20,623.3","78,457"
49,MUNICH RE GROUP,德国,"51,980.1","1,022.0","206,133.4","14,636.2","41,396"
50,MERCK,美国,"51,790.3","7,149.5","47,561.2","18,200.5","77,300"
51,KROGER,美国,"51,759.5","1,204.9","20,101.8","3,850.3","389,000"
52,PEUGEOT,法国,"51,465.7","1,597.8","587,714","11,526.0","198,600"
53,CARDINAL HEALTH,美国,"51,135.7","1,056.2","16,438.0","6,393.0","50,000"
54,BNP PARIBAS,法国,"51,127.3","3,115.2","745,366.1","27,749.8","87,685"
55,DEUTSCHE TELEKOM,德国,"50,759.5","-23,245.4","132,029.0","32,978.7","256,000"
56,STATE FARM INSURANCE COS,美国,"49,653.7","-2,795.5","117,811.3","31,769.8","76,938"
57,AVIVA,英国,"49,533.3",802.4,"297,707.5","15,566.1","64,562"
58,METRO,德国,"48,714.5",418.8,"24,054.0","4,345.3","191,512"
59,SAMSUNG ELECTRONICS,韩国,"47,605.6","5,636.4","54,765.5","20,498.9","80,000"
60,VODAFONE,英国,"46,987.0","-15,189.0","2,428,282","203,383.8","66,667"
61,AT&T,美国,"46,727.0","-13,082.2","55,272.0","12,312.0","71,000"
62,TOSHIBA,日本,"46,415.8",151.9,"44,180.5","4,815.8","166,000"
63,ENI,意大利,"46,328.2","4,342.4","69,055.0","27,552.5","80,655"
64,BANK OF AMERICA CORP,美国,"45,732.0","9,249.0",660.458,"50,319.0","133,944"
65,ELECTRICITE DE FRANCE,法国,"45,720.3",454.8,"151,985.0","14,568.0","171,995"
66,UNILEVER,荷兰/英国,"45,636.2","2,012.8","46,798.4","61,566.5","247,000"
67,AMERISOURCEBERGEN,美国,"45,234.8",344.9,"11,213.0","3,316.3","13,100"
