排名,公司名称(中文),营业收入(百万美元),利润(百万美元),国家,关键数据
1,沃尔玛（WALMART),"648,125","15,511",美国,+
2,亚马逊（AMAZON.COM),"574,785","30,425",美国,+
3,国家电网有限公司（STATE GRID),"545,947.5","9,204.3",中国,+
4,沙特阿美公司（SAUDI ARAMCO),"494,890.1","120,699.3",沙特阿拉伯,+
5,中国石油化工集团有限公司（SINOPEC GROUP),"429,699.7","9,393.4",中国,+
6,中国石油天然气集团有限公司（CHINA NATIONAL PETROLEUM),"421,713.6","21,294.7",中国,+
7,苹果公司（APPLE),"383,285","96,995",美国,+
8,联合健康集团（UNITEDHEALTH GROUP),"371,622","22,381",美国,+
9,伯克希尔－哈撒韦公司（BERKSHIRE HATHAWAY),"364,482","96,223",美国,+
10,CVS Health公司（CVS HEALTH),"357,776","8,344",美国,+
11,大众公司（VOLKSWAGEN),"348,408.1","17,944.5",德国,+
12,埃克森美孚（EXXON MOBIL),"344,582","36,010",美国,+
13,壳牌公司（SHELL),"323,183","19,359",英国,+
14,中国建筑集团有限公司（CHINA STATE CONSTRUCTION ENGINEERING),"320,430.5","4,371.5",中国,+
15,丰田汽车公司（TOYOTA MOTOR),"312,018.2","34,214.4",日本,+
16,麦克森公司（MCKESSON),"308,951","3,002",美国,+
17,Alphabet公司（ALPHABET),"307,394","73,795",美国,+
18,Cencora公司（CENCORA),"262,173.4","1,745.3",美国,+
19,托克集团（TRAFIGURA GROUP),"244,280.2","7,393.2",新加坡,+
20,开市客（COSTCO WHOLESALE),"242,290","6,292",美国,+
21,摩根大通公司（JPMORGAN CHASE),"239,425","49,552",美国,+
22,中国工商银行股份有限公司（INDUSTRIAL & COMMERCIAL BANK OF CHINA),"222,484.2","51,417",中国,+
23,道达尔能源公司（TOTALENERGIES),"218,945","21,384",法国,+
24,嘉能可（GLENCORE),"217,829","4,280",瑞士,+
25,英国石油公司（BP),"213,032","15,239",英国,+
26,微软（MICROSOFT),"211,915","72,361",美国,+
27,嘉德诺健康集团（CARDINAL HEALTH),"205,012",261,美国,+
28,Stellantis集团（STELLANTIS),"204,908.3","20,103.4",荷兰,+
29,雪佛龙（CHEVRON),"200,949","21,369",美国,+
30,中国建设银行股份有限公司（CHINA CONSTRUCTION BANK),"199,826.1","46,990",中国,+
31,三星电子（SAMSUNG ELECTRONICS),"198,256.7","11,081.7",韩国,+
32,鸿海精密工业股份有限公司（HON HAI PRECISION INDUSTRY),"197,876","4,562.9",中国,+
33,信诺集团（CIGNA GROUP),"195,265","5,164",美国,+
34,中国农业银行股份有限公司（AGRICULTURAL BANK OF CHINA),"192,398.3","38,048.7",中国,+
35,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),"178,562.9","2,152.5",中国,+
36,福特汽车公司（FORD MOTOR),"176,191","4,347",美国,+
37,中国银行股份有限公司（BANK OF CHINA),"172,327.6","32,758.3",中国,+
38,美国银行（BANK OF AMERICA),"171,912","26,515",美国,+
39,通用汽车公司（GENERAL MOTORS),"171,842","10,127",美国,+
40,Elevance Health公司（ELEVANCE HEALTH),"171,340","5,987",美国,+
41,宝马集团（BMW GROUP),"168,102.6","12,205.2",德国,+
42,梅赛德斯-奔驰集团（MERCEDES-BENZ GROUP),"165,637.8","15,417",德国,+
43,中国铁道建筑集团有限公司（CHINA RAILWAY CONSTRUCTION),"160,847.4","1,701",中国,+
44,中国宝武钢铁集团有限公司（CHINA BAOWU STEEL GROUP),"157,216.3","2,493.8",中国,+
45,花旗集团（CITIGROUP),"156,820","9,228",美国,+
46,Centene公司（CENTENE),"153,999","2,702",美国,+
47,京东集团股份有限公司（JD.COM),"153,217.4","3,413.8",中国,+
48,家得宝（HOME DEPOT),"152,669","15,143",美国,+
49,法国电力公司（ELECTRICITÉ DE FRANCE),"151,040.2","10,827.9",法国,+
50,马拉松原油公司（MARATHON PETROLEUM),"150,307","9,681",美国,+
51,克罗格（KROGER),"150,039","2,164",美国,+
52,Phillips 66公司（PHILLIPS 66),"149,890","7,015",美国,+
53,中国平安保险（集团）股份有限公司（PING AN INSURANCE),"145,759.1","12,100.9",中国,+
54,中国中化控股有限责任公司（SINOCHEM HOLDINGS),"143,240","-3,666",中国,+
55,中国移动通信集团有限公司（CHINA MOBILE COMMUNICATIONS),"142,832.4","15,253.4",中国,+
56,中国海洋石油集团有限公司（CHINA NATIONAL OFFSHORE OIL),"141,731.8","14,559.2",中国,+
57,本田汽车（HONDA MOTOR),"141,348.5","7,660.6",日本,+
58,房利美（FANNIE MAE),"141,240","17,408",美国,+
59,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),"139,615.9",-841.2,中国,+
60,沃博联（WALGREENS BOOTS ALLIANCE),"139,081","-3,080",美国,+
61,瓦莱罗能源公司（VALERO ENERGY),"139,001","8,835",美国,+
62,西班牙国家银行（BANCO SANTANDER),"137,244.8","11,973.8",西班牙,+
63,中国交通建设集团有限公司（CHINA COMMUNICATIONS CONSTRUCTION),"136,670.7","1,672.3",中国,+
64,法国巴黎银行（BNP PARIBAS),"136,076.2","11,864.6",法国,+
65,三菱商事株式会社（MITSUBISHI),"135,389.8","6,670.2",日本,+
66,Meta Platforms公司（META PLATFORMS),"134,902","39,098",美国,+
67,汇丰银行控股公司（HSBC HOLDINGS),"134,901","23,533",英国,+
68,威瑞森电信（VERIZON COMMUNICATIONS),"133,974","11,614",美国,+
69,中国五矿集团有限公司（CHINA MINMETALS),"132,019.7",766,中国,+
70,阿里巴巴集团控股有限公司（ALIBABA GROUP HOLDING),"131,337.9","11,165.1",中国,+
71,中国中信集团有限公司（CITIC GROUP),"131,242.3","4,124.6",中国,+
72,中国华润有限公司（CHINA RESOURCES),"126,169.5","3,797.5",中国,+
73,现代汽车（HYUNDAI MOTOR),"124,576.7","9,158.6",韩国,+
74,美国电话电报公司（AT&T),"122,428","14,400",美国,+
75,山东能源集团有限公司（SHANDONG ENERGY GROUP),"122,383.2",829.6,中国,+
76,美国康卡斯特电信公司（COMCAST),"121,572","15,388",美国,+
77,德国电信（DEUTSCHE TELEKOM),"121,046.2","19,229.9",德国,+
78,中国南方电网有限责任公司（CHINA SOUTHERN POWER GRID),"118,813.5","2,342.2",中国,+
79,Uniper公司（UNIPER),"116,662.5","6,819.3",德国,+
80,美国富国银行（WELLS FARGO),"115,340","19,142",美国,+
81,恒力集团有限公司（HENGLI GROUP),"114,664.5",980.8,中国,+
82,安联保险集团（ALLIANZ),"113,517.7","9,233.3",德国,+
83,中国邮政集团有限公司（CHINA POST GROUP),"112,778.5","5,884.5",中国,+
84,国家能源投资集团有限责任公司（CHINA ENERGY INVESTMENT),"112,048.7","6,339.1",中国,+
85,厦门建发集团有限公司（XIAMEN C&D),"110,665.6","1,057.6",中国,+
86,信实工业公司（RELIANCE INDUSTRIES),"108,877.9","8,412.5",印度,+
87,高盛集团（GOLDMAN SACHS GROUP),"108,418","8,516",美国,+
88,房地美（FREDDIE MAC),"108,050","10,538",美国,+
89,俄罗斯石油公司（ROSNEFT OIL),"107,543.1","14,870.4",俄罗斯,+
90,塔吉特公司（TARGET),"107,412","4,138",美国,+
91,Equinor公司（EQUINOR),"107,174","11,885",挪威,+
92,哈门那公司（HUMANA),"106,374","2,489",美国,+
93,上海汽车集团股份有限公司（SAIC MOTOR),"105,195.7","1,992.6",中国,+
94,州立农业保险公司（STATE FARM INSURANCE),"104,198.6","-6,272.3",美国,+
95,印度人寿保险公司（LIFE INSURANCE CORP. OF INDIA),"103,547.6","4,944",印度,+
96,雀巢公司（NESTLÉ),"103,505.2","12,475.4",瑞士,+
97,意大利国家电力公司（ENEL),"103,311.4","3,716.7",意大利,+
98,埃尼石油公司（ENI),"102,501.7","5,157.7",意大利,+
99,巴西国家石油公司（PETROBRAS),"102,409","24,884",巴西,+
100,SK集团（SK),"101,968.8",-594.8,韩国,+
101,意昂集团（E.ON),"101,280.1",558.9,德国,+
102,俄罗斯天然气工业股份公司（GAZPROM),"100,252.5","-7,383.4",俄罗斯,+
103,华为投资控股有限公司（HUAWEI INVESTMENT & HOLDING),"99,470.3","12,274.4",中国,+
104,法国兴业银行（SOCIÉTÉ GÉNÉRALE),"99,163.4","2,695.1",法国,+
105,博世集团（BOSCH GROUP),"99,020.7","2,271.3",德国,+
106,中粮集团有限公司（COFCO),"97,765.1","1,270.3",中国,+
107,日本伊藤忠商事株式会社（ITOCHU),"97,074.1","5,547.5",日本,+
108,中国电力建设集团有限公司（POWERCHINA),"97,034.9",775.9,中国,+
109,墨西哥石油公司（PEMEX),"96,978.8",457.1,墨西哥,+
110,特斯拉（TESLA),"96,773","14,997",美国,+
111,摩根士丹利（MORGAN STANLEY),"96,194","9,087",美国,+
112,中国医药集团有限公司（SINOPHARM),"96,072.2","1,149.5",中国,+
113,博枫公司（BROOKFIELD),"95,924","1,130",加拿大,+
114,皇家阿霍德德尔海兹集团（ROYAL AHOLD DELHAIZE),"95,834.8","2,025.9",荷兰,+
115,强生（JOHNSON & JOHNSON),"95,195","35,153",美国,+
116,印度石油公司（INDIAN OIL),"94,273","5,042.3",印度,+
117,ADM公司（ARCHER DANIELS MIDLAND),"93,935","3,483",美国,+
118,法国农业信贷银行（CRÉDIT AGRICOLE),"93,358.1","6,862.6",法国,+
119,迪奥公司（CHRISTIAN DIOR),"93,136.5","6,815",法国,+
