ticker,start_date,end_date,start_price,end_price,total_return,cagr,total_return_pct,cagr_pct
COR,2008-10-15,2025-10-22,10.26317,330.799988,31.231754904469682,0.2263833364942116,3123.175490446968,22.63833364942116
HD,2008-10-15,2025-10-22,12.975429,388.970001,28.977429938857348,0.2211694347015538,2897.742993885735,22.11694347015538
COST,2008-10-15,2025-10-22,37.44643,944.679993,24.227504663899246,0.2088534281848322,2422.7504663899244,20.88534281848322
UNH,2008-10-15,2025-10-22,16.994181,361.48999,20.271398548459597,0.1967979433250462,2027.1398548459597,19.67979433250462
MCK,2008-10-15,2025-10-22,37.504612,795.619995,20.213924190842008,0.19660769055180727,2021.3924190842008,19.660769055180726
VLO,2008-10-15,2025-10-22,9.254011,161.869995,16.491873785365208,0.1831195511447592,1649.1873785365208,18.31195511447592
MUV2.DE,2008-10-15,2025-10-22,42.83968,549.599976,11.829226997110016,0.16176282555558053,1182.9226997110015,16.176282555558053
MS,2008-10-15,2025-10-22,12.643794,158.119995,11.505739524855183,0.16002077156542116,1150.5739524855182,16.002077156542114
005930.KS,2008-10-15,2025-10-22,7927.29248,98600.0,11.438042401353364,0.15965084569472587,1143.8042401353364,15.965084569472587
JPM,2008-10-15,2025-10-22,25.194969,294.109985,10.673361585898547,0.15533535200515458,1067.3361585898547,15.533535200515459
SIE.DE,2008-10-15,2025-10-22,22.210941,242.0,9.89553101650246,0.15066354901059964,989.5531016502459,15.066354901059963
F,2008-10-15,2025-10-22,1.196659,12.43,9.3872547369067,0.14743801141848256,938.72547369067,14.743801141848255
6501.T,2008-10-15,2025-10-22,436.767883,4470.0,9.234268981086514,0.14643804054379372,923.4268981086514,14.643804054379373
ALV.DE,2008-10-15,2025-10-22,34.672657,351.700012,9.14343988912591,0.14583767113251445,914.3439889125909,14.583767113251444
WMT,2008-10-15,2025-10-22,11.680259,107.139999,8.172741946427388,0.1390849585759233,817.2741946427388,13.908495857592328
CAH,2008-10-15,2025-10-22,17.686508,159.520004,8.019304582940428,0.13795643671332547,801.9304582940429,13.795643671332547
034730.KS,2009-11-11,2025-10-22,26253.097656,235000.0,7.951324642791409,0.1473535388494751,795.1324642791409,14.73535388494751
GS,2008-10-15,2025-10-22,84.52195,744.599976,7.809545658011523,0.13638407743332448,780.9545658011523,13.638407743332447
BMW.DE,2008-10-15,2025-10-22,10.147194,80.480003,6.9312570629008885,0.1293928265514941,693.1257062900888,12.939282655149409
KR,2008-10-15,2025-10-22,8.948455,68.599998,6.666127792043917,0.12713875232520122,666.6127792043917,12.713875232520122
SONY,2008-10-15,2025-10-22,4.074827,28.75,6.055514748001031,0.12165488417407522,605.5514748001032,12.165488417407522
BA,2008-10-15,2025-10-22,31.514009,216.589996,5.87281624716287,0.11992707979324035,587.281624716287,11.992707979324035
9432.T,2008-10-15,2025-10-22,23.766306,159.800003,5.723804850715335,0.11848554481946283,572.3804850715335,11.848554481946284
DTE.DE,2008-10-15,2025-10-22,4.586688,30.030001,5.547208690816626,0.11673770014840845,554.7208690816626,11.673770014840844
BRK-B,2008-10-15,2025-10-22,75.919998,491.809998,5.478003285302582,0.11604061775203034,547.8003285302582,11.604061775203034
MBG.DE,2008-10-15,2025-10-22,8.574097,52.959999,5.176743867367132,0.11292208033744222,517.6743867367132,11.292208033744222
IBM,2008-10-15,2025-10-22,47.627659,287.51001,5.036618568789469,0.11142245912914328,503.6618568789469,11.142245912914328
005380.KS,2008-10-15,2025-10-22,44857.664062,261000.0,4.818403732221761,0.10902058832274641,481.84037322217614,10.90205883227464
CS.PA,2008-10-15,2025-10-22,7.702957,39.34,4.107129872960532,0.1005562099702455,410.7129872960532,10.055620997024551
CVX,2008-10-15,2025-10-22,30.524771,155.570007,4.096516814693237,0.1004216920347436,409.65168146932365,10.04216920347436
TM,2008-10-15,2025-10-22,41.984631,203.509995,3.8472498548294345,0.09718401545280764,384.72498548294345,9.718401545280763
GE,2008-10-15,2025-10-22,62.430859,297.890015,3.7715187852772916,0.09616928343095332,377.15187852772914,9.616928343095331
T,2008-10-15,2025-10-22,5.410549,25.549999,3.722256182037772,0.09550103683626898,372.22561820377723,9.550103683626897
CVS,2008-10-15,2025-10-22,18.151999,82.010002,3.517959939581007,0.09265784046448022,351.7959939581007,9.265784046448022
COP,2008-10-15,2025-10-22,20.564558,87.410004,3.250517007858927,0.08874712034193566,325.0517007858927,8.874712034193566
PRU,2008-10-15,2025-10-22,24.149265,102.089996,3.227457652017941,0.08839916544409032,322.74576520179414,8.839916544409032
PG,2008-10-15,2025-10-22,36.468399,152.199997,3.1734762403069796,0.08757757364671725,317.34762403069794,8.757757364671725
SHEL,2008-10-15,2025-10-22,19.049307,74.540001,2.91300331430154,0.08346701540375911,291.300331430154,8.34670154037591
VZ,2008-10-15,2025-10-22,10.366181,39.799999,2.839407955800922,0.08225889746082427,283.9407955800922,8.225889746082427
DHL.DE,2008-10-15,2025-10-22,10.538465,39.470001,2.745327175114851,0.08068235151157932,274.5327175114851,8.068235151157932
BAS.DE,2008-10-15,2025-10-22,11.685526,43.110001,2.689179331832877,0.07972360511043042,268.9179331832877,7.972360511043042
EQNR,2008-10-15,2025-10-22,6.601025,23.969999,2.631254075511908,0.07872000632010279,263.1254075511908,7.872000632010279
TTE,2008-10-15,2025-10-22,17.295004,62.25,2.5993053480852573,0.07816000418167102,259.93053480852575,7.816000418167102
ACA.PA,2008-10-15,2025-10-22,4.75281,16.35,2.440070614457343,0.07529719143168023,244.0070614457343,7.529719143168023
