rank,company,ticker
14,FORTIS,
19,DEXIA GROUP,
24,STATE GRID,
42,PEMEX,
45,HBOS,
47,GAZPROM,
56,METRO,
66,PEUGEOT,
68,ELECTRICITE DE FRANCE,
71,FIAT,
74,CREDIT SUISSE,
83,U.S. POSTAL SERVICE,
90,LUKOIL,
91,TOSHIBA,
95,PETRONAS,
97,SUEZ,
100,MERRILL LYNCH,
